YL1	BIv3	RR1.27	RR1.41
FG4G02620	FGSG_06605	FGRRES_06605	FGRAMPH1_01T22687
FG4G04140	FGSG_06690	FGRRES_06690	FGRAMPH1_01T22925
FG4G04870	FGSG_06737	FGRRES_06737	FGRAMPH1_01T23049
FG4G05050	FGSG_06748	FGRRES_16710	FGRAMPH1_01T23077
FG4G05650	FGSG_06781	FGRRES_06781	FGRAMPH1_01T23173
FG4G05800	FGSG_06790	FGRRES_16717	FGRAMPH1_01T23195
FG4G05850	FGSG_06795	FGRRES_16719	FGRAMPH1_01T23205
FG4G05890	FGSG_06798	FGRRES_16720	FGRAMPH1_01T23213
FG4G07940	FGSG_06935	FGRRES_06935	FGRAMPH1_01T23531
FG4G08470	FGSG_13032	FGRRES_16751	FGRAMPH1_01T23623
FG4G11860	FGSG_07171	FGRRES_07171_M	FGRAMPH1_01T24139
FG4G13680	FGSG_07284	FGRRES_07284	FGRAMPH1_01T24421
FG4G13820	FGSG_13113	FGRRES_16808	FGRAMPH1_01T24447
FG4G13840	FGSG_07295	FGRRES_16809	FGRAMPH1_01T24451
FG4G14980	FGSG_13137	FGRRES_13137	FGRAMPH1_01T24631
FG4G15270	FGSG_07376	FGRRES_07376	FGRAMPH1_01T24671
FG4G15490	FGSG_07395	FGRRES_07395	FGRAMPH1_01T24713
FG4G15700	FGSG_07409	FGRRES_16828	FGRAMPH1_01T24753
FG4G16020	FGSG_07431	FGRRES_07431_M	FGRAMPH1_01T24807
FG4G16040	FGSG_07433	FGRRES_07433_M	FGRAMPH1_01T24811
FG4G16210	FGSG_07446	FGRRES_07446	FGRAMPH1_01T24839
FG4G22960	FGSG_13254	FGRRES_13254_M	FGRAMPH1_01T26037
FG4G23020	FGSG_07944	FGRRES_07944_M	FGRAMPH1_01T26041
FG4G25180	FGSG_09762	FGRRES_09762	FGRAMPH1_01T26389
FG4G25240	FGSG_09739,FGSG_13632	FGRRES_13632	FGRAMPH1_01T26395,FGRAMPH1_01T26397
FG4G25540	FGSG_09717	FGRRES_09717	FGRAMPH1_01T26441
FG4G26780	FGSG_09632	FGRRES_09632	FGRAMPH1_01T26629
FG4G27470	FGSG_13611	FGRRES_13611_M	FGRAMPH1_01T26729,FGRAMPH1_01T26731
FG4G28060	FGSG_09548	FGRRES_17235_M	FGRAMPH1_01T26823
FG4G28140	FGSG_09545	FGRRES_09545_M	FGRAMPH1_01T26833
FG4G28950	FGSG_09492	FGRRES_17266_M	FGRAMPH1_01T26955
FG4G30340	FGSG_09408	FGRRES_09408	FGRAMPH1_01T27169
FG4G30360	FGSG_09406	FGRRES_09406	FGRAMPH1_01T27173
FG4G30720	FGSG_09381	FGRRES_09381	FGRAMPH1_01T27225
FG4G30790	FGSG_09376	FGRRES_09376	FGRAMPH1_01T27235
FG4G32740	FGSG_09254	FGRRES_09254	FGRAMPH1_01T27545
FG4G33340	FGSG_09216	FGRRES_09216	FGRAMPH1_01T27643
FG4G35780	FGSG_09034	FGRRES_09034	FGRAMPH1_01T28077
FG4G36080	FGSG_09017	FGRRES_09017	FGRAMPH1_01T28115
FG4G36170	FGSG_09011	FGRRES_09011	FGRAMPH1_01T28129
FG4G36210	FGSG_09007	FGRRES_09007	FGRAMPH1_01T28137
FG4G36310	FGSG_08999	FGRRES_08999	FGRAMPH1_01T28153
