Orthogroup	GCF_000002945.2_ASM294v3_protein	GCF_000146045.2_R64_protein	GCF_000213175.1_v2.0_protein
OG0000388	NP_593930.2	NP_009963.1, NP_013476.3	XP_009847833.1, XP_009851265.1
OG0000389	NP_593944.1	NP_012594.1	XP_009851291.1, XP_009852234.1, XP_009856562.1
OG0000390	NP_594003.1, NP_594672.1	NP_009604.1, NP_010308.3	XP_009856354.1
OG0000391	NP_594016.2	NP_011686.1	XP_009848209.1, XP_009853460.1, XP_009853872.1
OG0000392	NP_594018.1, NP_595605.1	NP_013957.1, NP_014936.1	XP_009851539.1
OG0000393	NP_594105.2	NP_010217.1, NP_013275.1, NP_014389.3	XP_009853884.1
OG0000394	NP_594120.1	NP_009372.1, NP_014972.3	XP_009849448.1, XP_009857128.1
OG0000395	NP_594150.1, NP_595899.1	NP_011599.1, NP_015427.1	XP_009856785.1
OG0000396	NP_594167.1	NP_011104.3	XP_009848218.1, XP_009856151.1, XP_009857246.1
OG0000397	NP_594174.1, NP_596350.1	NP_012073.1, NP_012679.3	XP_009855195.1
OG0000398	NP_594175.1, NP_596032.1	NP_009750.1, NP_015246.1	XP_009855449.1
OG0000399	NP_594184.2, NP_595729.1	NP_012801.1, NP_013820.1	XP_009850402.1
OG0000400	NP_594185.1, NP_595736.1	NP_011439.1, NP_015126.1	XP_009850517.1
OG0000401	NP_594206.1, NP_595275.1	NP_010966.1, NP_015251.1	XP_009853345.1
OG0000402	NP_594250.1, NP_594993.1, NP_596852.1	NP_012072.3	XP_009857225.1
OG0000403	NP_594253.1, NP_595896.1	NP_010997.3, NP_012195.1	XP_009847436.1
OG0000404	NP_594296.1	NP_012734.1, NP_013517.1, NP_013518.3	XP_009848403.1
OG0000405	NP_594413.1, NP_596140.1	NP_011730.1, NP_013149.1	XP_009852496.1
OG0000406	NP_594441.1, NP_595253.1	NP_012133.1, NP_014330.1	XP_009848042.1
OG0000407	NP_594457.1, NP_596130.3	NP_010880.3, NP_012581.3	XP_009850100.1
OG0000408	NP_594461.1	NP_015155.1	XP_009847640.1, XP_009849879.1, XP_009851687.1
OG0000409	NP_594485.1, NP_595515.1	NP_011541.1, NP_013437.1	XP_009851691.1
OG0000410	NP_594537.1	NP_013134.1, NP_014519.1	XP_009851360.1, XP_009851880.1
OG0000411	NP_594539.1, NP_595841.1, NP_596684.1	NP_013758.1	XP_009856601.1
OG0000412	NP_594542.1, NP_596682.1	NP_010262.1, NP_014582.1	XP_009855605.1
OG0000413	NP_594583.1, NP_596460.1, NP_596738.1	NP_010366.1	XP_009849229.1
OG0000414	NP_594596.1	NP_009705.1, NP_014549.1	XP_009851072.1, XP_009856011.1
OG0000415	NP_594630.1	NP_014887.3	XP_009850159.1, XP_009853510.1, XP_009854098.1
OG0000416	NP_594643.1, NP_596461.1	NP_013403.1, NP_014833.3	XP_009854520.1
OG0000417	NP_594679.1	NP_010956.1, NP_010957.1, NP_011290.1	XP_009850702.1
OG0000418	NP_594745.2	NP_011981.1, NP_012819.1	XP_009847656.1, XP_009850908.1
OG0000419	NP_594852.1	NP_012609.3	XP_009849829.1, XP_009851411.1, XP_009857176.1
OG0000420	NP_594886.1	NP_013917.1, NP_015075.1	XP_009849456.1, XP_009851887.1
OG0000421	NP_594926.1, NP_596600.1	NP_014939.1	XP_009854834.1, XP_009855524.1
OG0000422	NP_594942.1	NP_012241.1, NP_014722.1	XP_009849441.1, XP_009850629.1
OG0000423	NP_594982.1	NP_013814.1, NP_014066.1, NP_116596.1	XP_009849191.1
OG0000424	NP_595047.1, NP_595048.1, NP_595049.1, NP_595050.1	NP_015233.1	
OG0000425	NP_595095.1	NP_011772.3, NP_012053.3	XP_009855710.1, XP_009856356.1
OG0000426	NP_595105.1, NP_595634.1	NP_012628.3, NP_015368.1	XP_009851325.1
OG0000427	NP_595122.1	NP_010285.1	XP_009847880.1, XP_009850060.1, XP_009851213.1
OG0000428	NP_595186.1		XP_009849200.1, XP_009849345.1, XP_009849632.1, XP_009853221.1
OG0000429	NP_595221.1, NP_596593.1	NP_014097.1, NP_014520.1	XP_009850514.1
OG0000430	NP_595242.2, NP_596223.1	NP_012451.1, NP_012946.3	XP_009850313.1
OG0000431	NP_595247.1	NP_011719.1, NP_015526.1	XP_009847204.1, XP_009849925.1
OG0000432	NP_595311.1, NP_596431.1	NP_014293.1, NP_014752.3	XP_009856154.1
OG0000433	NP_595389.2, NP_596709.1	NP_012624.1, NP_015367.1	XP_009850703.1
OG0000434	NP_595468.1	NP_010570.1	XP_009848552.1, XP_009854661.1, XP_009856522.1
OG0000435	NP_595609.1	NP_014079.1	XP_009853020.1, XP_009856079.1, XP_009856178.1
OG0000436	NP_595689.1	NP_010161.1, NP_015253.1	XP_009847765.1, XP_009856481.1
OG0000437	NP_595702.1	NP_012088.3, NP_013536.3, NP_013656.1	XP_009856338.1
OG0000438	NP_595710.1	NP_009421.3, NP_010265.1	XP_009852876.1, XP_009857145.1
OG0000439	NP_595746.1	NP_014830.1	XP_009848302.1, XP_009850374.1, XP_009857338.1
OG0000440	NP_595879.1, NP_596510.1	NP_009587.1, NP_010295.3	XP_009848284.1
OG0000441	NP_595900.1	NP_009777.1, NP_011453.1	XP_009856788.1, XP_009857158.1
OG0000442	NP_595903.1	NP_011770.3, NP_012044.1	XP_009855972.1, XP_009856865.1
OG0000443	NP_595998.1	NP_011913.1, NP_012765.3	XP_009853446.1, XP_009855974.1
OG0000444	NP_596078.1	NP_010763.2, NP_011753.1, NP_014662.1	XP_009850792.1
OG0000445	NP_596167.2	NP_012574.1	XP_009849260.1, XP_009850603.1, XP_009850907.1
OG0000446	NP_596433.1	NP_010978.3, NP_012213.3	XP_009853484.1, XP_009856434.1
OG0000447	NP_596464.1	NP_010392.1, NP_013184.1	XP_009849443.1, XP_009849838.1
OG0000448	NP_596589.1	NP_014231.1	XP_009849744.1, XP_009855061.1, XP_009856171.1
OG0000449		NP_009384.1, NP_014594.2, NP_014595.2	XP_009854777.1, XP_009855410.1
OG0000450		NP_009579.1	XP_009849683.1, XP_009849685.1, XP_009850106.1, XP_009856426.1
OG0000451		NP_010030.1, NP_014051.3	XP_009851038.1, XP_009851793.1, XP_009854135.1
OG0000452		NP_010974.1, NP_012219.3, NP_013375.1, NP_014821.3	XP_009851496.1
OG0000453		NP_010976.1, NP_010981.3, NP_010982.1	XP_009847654.1, XP_009849383.1
OG0000454		NP_011705.1	XP_009848534.1, XP_009854623.1, XP_009855006.1, XP_009856116.1
OG0000455		NP_012106.1	XP_009848886.1, XP_009852478.1, XP_009854111.1, XP_009854264.1
OG0000456		NP_012322.1	XP_009848532.1, XP_009849422.1, XP_009853734.1, XP_009856688.1
OG0000457		NP_012683.4	XP_009848005.1, XP_009850043.1, XP_009854118.1, XP_009854494.1
OG0000458		NP_013043.1	XP_009848861.1, XP_009850311.1, XP_009851532.1, XP_009853821.1
OG0000459		NP_014462.1	XP_009851120.1, XP_009856299.1, XP_009856931.1, XP_009856952.1
OG0000460		NP_015222.1	XP_009849033.1, XP_009849893.1, XP_009854199.1, XP_009855910.1
OG0000461		NP_015346.1	XP_009847308.1, XP_009848580.1, XP_009848591.1, XP_009848620.1
OG0000462		NP_757337.1, NP_757338.1, NP_757339.1, NP_878124.1, NP_878125.1	
OG0000463			XP_009847037.1, XP_009851564.1, XP_009851755.1, XP_009852944.1, XP_009855117.1
OG0000464			XP_009847424.1, XP_009848112.1, XP_009848484.1, XP_009853036.1, XP_009854826.1
OG0000465			XP_009847498.1, XP_009848720.1, XP_009849516.1, XP_009851676.1, XP_009853732.1
OG0000466			XP_009847507.1, XP_009850264.1, XP_009853739.1, XP_009856335.1, XP_009857396.1
OG0000467			XP_009847612.1, XP_009853004.1, XP_009853812.1, XP_009853942.1, XP_009853944.1
OG0000468			XP_009847695.1, XP_009847836.1, XP_009848140.1, XP_009848862.1, XP_009850217.1
OG0000469			XP_009848172.1, XP_009848610.1, XP_009849923.1, XP_009853561.1, XP_009856204.1
OG0000470			XP_009848836.1, XP_009849025.1, XP_009849035.1, XP_009849038.1, XP_009850773.1
OG0000471			XP_009849621.1, XP_009850454.1, XP_009852911.1, XP_009853264.1, XP_009853621.1
OG0000472			XP_009850440.1, XP_009850746.1, XP_009851628.1, XP_009851769.1, XP_009852415.1
OG0000473			XP_009852768.1, XP_009852815.1, XP_009853044.1, XP_009853045.1, XP_009853046.1
OG0000474			XP_009852933.1, XP_009854648.1, XP_009855685.1, XP_009855764.1, XP_009855864.1
OG0000475	NP_595006.1	NP_014197.2	XP_009849102.1, XP_009857174.1
OG0000476	NP_593534.2	NP_014876.1, NP_015184.1	XP_009854917.1
OG0000477			XP_009850970.1, XP_009851832.1, XP_009853190.1, XP_009854298.1
OG0000478	NP_587748.2		XP_009850396.1, XP_009853259.1, XP_009854244.1
OG0000479			XP_009847399.1, XP_009849164.1, XP_009852505.1, XP_009853588.1
OG0000480	NP_588010.1	NP_012796.1, NP_013822.1	XP_009849885.1
OG0000481	NP_593065.1, NP_596726.1	NP_010015.3	XP_009852175.1
OG0000482	NP_593754.1, NP_594840.1	NP_012075.1	XP_009856252.1
OG0000483	NP_595121.1		XP_009849504.1, XP_009849993.1, XP_009852866.1
OG0000484	NP_593458.1, NP_594189.1	NP_015467.1	XP_009848434.1
OG0000485	NP_594246.1, NP_596602.1	NP_014834.1	XP_009857197.1
OG0000486	NP_593631.1, NP_594490.1	NP_015491.1	XP_009851914.1
OG0000487	NP_001417926.1	NP_011004.3, NP_012191.1	XP_009847752.1
OG0000488			XP_009848984.1, XP_009854163.1, XP_009854779.1, XP_009855761.1
OG0000489	NP_595020.1, NP_595025.1		XP_009848154.1, XP_009855650.1
OG0000490	NP_596061.1		XP_009847216.1, XP_009848401.1, XP_009853475.1
OG0000491	NP_595007.1	NP_013892.1, NP_013893.1	XP_009850295.1
OG0000492	NP_595438.1	NP_010052.1, NP_014190.1	XP_009855317.1
OG0000493	NP_596523.1	NP_014287.3	XP_009850524.1, XP_009855617.1
OG0000494	NP_588512.2, NP_594987.1	NP_012323.1	XP_009849463.1
OG0000495	NP_596850.1		XP_009848921.1, XP_009850570.1, XP_009853196.1
OG0000496	NP_594058.1, NP_594108.1	NP_013268.1	XP_009853159.1
OG0000497	NP_593923.1, NP_594398.1	NP_012118.1, NP_013020.3	
OG0000498	NP_595409.1	NP_013061.1	XP_009848706.1, XP_009854603.1
OG0000499	NP_595018.1		XP_009851831.1, XP_009855187.1, XP_009856972.1
OG0000500	NP_593468.1	NP_014070.1	XP_009850204.1, XP_009856064.1
OG0000501	NP_592957.1	NP_010910.1, NP_012260.1	XP_009847548.1
OG0000502		NP_015453.1	XP_009851090.1, XP_009851310.1, XP_009852649.1
OG0000503	NP_594283.1	NP_012402.1, NP_012978.1	XP_009853342.1
OG0000504	NP_001342704.2	NP_012610.1	XP_009855399.1, XP_009856828.1
OG0000505	NP_001342960.1, NP_595940.1	NP_010147.1	XP_009849269.1
OG0000506	NP_596168.1	NP_009764.3, NP_014742.1	XP_009849185.1
OG0000507	NP_594430.1, NP_594975.1	NP_010359.1	XP_009854787.1
OG0000508	NP_594152.2	NP_015210.1	XP_009855056.1, XP_009856771.1
OG0000509	NP_595283.1	NP_009638.1, NP_010344.1	XP_009853472.1
OG0000510	NP_001342851.1, NP_594894.2	NP_015420.1	XP_009847773.1
OG0000511	NP_594555.1, NP_594954.1	NP_010454.3	XP_009848975.1
OG0000512	NP_593184.1, NP_595760.1	NP_015120.1	XP_009855544.1
OG0000513	NP_594546.2, NP_595820.1	NP_012454.1	XP_009856737.1
OG0000514	NP_594763.1	NP_009895.1, NP_010801.1	XP_009848044.1
OG0000515	NP_594854.1	NP_012397.1, NP_012985.3	XP_009855962.1
OG0000516	NP_594135.1	NP_009379.2, NP_014966.1	XP_009852047.1
OG0000517	NP_593237.1	NP_010188.1, NP_010190.1	XP_009855486.1
OG0000518	NP_596764.1	NP_012135.1, NP_014331.3	XP_009850806.1
OG0000519	NP_001018229.2, NP_593152.1	NP_012159.1	XP_009852109.1
OG0000520	NP_595690.1	NP_010533.1, NP_015299.1	XP_009849090.1
OG0000521	NP_592948.1	NP_011261.1, NP_116711.3	XP_009856748.1
OG0000522	NP_596795.1	NP_014874.1, NP_015185.1	XP_009850583.1
OG0000523	NP_593197.1	NP_013015.1, NP_014724.1	XP_009853104.1
OG0000524	NP_593462.1	NP_011636.3, NP_015464.1	XP_009856195.1
OG0000525	NP_595518.1	NP_014580.1	XP_009847303.1, XP_009852162.1
OG0000526	NP_593733.1	NP_011983.1, NP_014283.3	XP_009850779.1
OG0000527	NP_594207.3	NP_009916.1, NP_014394.2	XP_009853364.1
OG0000528	NP_001342788.1, NP_588471.1	NP_014926.1	XP_009851678.1
OG0000529	NP_594889.1	NP_010263.1, NP_012770.1, NP_014585.1	
OG0000530	NP_587745.1, NP_594437.1	NP_014587.1	XP_009852463.1
OG0000531	NP_595423.1, NP_596736.1	NP_009992.1	XP_009850165.1
OG0000532	NP_588282.1	NP_009492.1, NP_011022.1	XP_009856425.1
OG0000533	NP_001018242.1, NP_593427.1, NP_595780.1	NP_014497.1	
OG0000534	NP_595545.1	NP_014511.1, NP_116604.1	XP_009850728.1
OG0000535	NP_001342913.1	NP_013885.1	XP_009847371.1, XP_009849517.1
OG0000536	NP_587838.1, NP_596230.1	NP_012974.1	XP_009847257.1
OG0000537	NP_594721.1	NP_015125.1	XP_009851076.1, XP_009855959.1
OG0000538	NP_587949.1	NP_014216.1	XP_009849700.1, XP_009855457.1
OG0000539	NP_595286.1	NP_011652.1, NP_015480.1	XP_009855556.1
OG0000540	NP_594916.1	NP_015306.1, NP_116651.1	XP_009852126.1
OG0000541	NP_588247.1	NP_010113.1	XP_009847873.1, XP_009855513.1
OG0000542	NP_593707.1	NP_009978.1, NP_014416.1	XP_009854453.1
OG0000543	NP_595434.1	NP_009594.1	XP_009848396.1, XP_009850136.1
OG0000544	NP_593134.1, NP_595564.1	NP_013859.1	XP_009847663.1
OG0000545	NP_593032.1, NP_595496.1	NP_010227.1	XP_009847486.1
OG0000546	NP_593055.1	NP_012405.2	XP_009849402.1, XP_009854713.1
OG0000547	NP_593102.1		XP_009851758.1, XP_009853178.1, XP_009853940.1
OG0000548	NP_595960.1	NP_011868.1	XP_009847807.1, XP_009850655.1
OG0000549	NP_594009.1	NP_009537.1, NP_011554.3	XP_009853380.1
OG0000550	NP_594715.1	NP_013208.1	XP_009847544.1, XP_009854791.1
OG0000551	NP_594731.1	NP_012157.3, NP_014349.1	XP_009852750.1
OG0000552	NP_595421.2	NP_010878.1	XP_009847550.1, XP_009849749.1
OG0000553	NP_596060.1	NP_013547.3, NP_013646.1	XP_009856988.1
OG0000554	NP_596092.1	NP_012941.1, NP_014732.1	XP_009850576.1
OG0000555	NP_587695.1	NP_011906.1	XP_009852156.1, XP_009852473.1
OG0000556	NP_588005.1	NP_010873.1, NP_012583.1	XP_009856187.1
OG0000557	NP_588151.1	NP_010281.1	XP_009847123.1, XP_009856162.1
OG0000558	NP_592844.1	NP_010137.2	XP_009852725.1, XP_009854142.1
OG0000559	NP_592848.1	NP_011606.3, NP_015436.1	XP_009855155.1
OG0000560	NP_594337.1	NP_010967.3, NP_012269.1	XP_009853281.1
OG0000561	NP_594825.2	NP_009590.1	XP_009854349.1, XP_009855112.1
OG0000562	NP_594989.1, NP_595733.2	NP_012839.1	XP_009854032.1
OG0000563	NP_595587.1	NP_013884.1	XP_009850579.1, XP_009852442.1
OG0000564	NP_001018181.1	NP_014100.2, NP_014526.1	XP_009854236.1
OG0000565	NP_001018789.2	NP_010077.1, NP_010519.3	XP_009849457.1
OG0000566	NP_001018794.2	NP_010747.1, NP_014073.1	XP_009855462.1
OG0000567	NP_001018813.2	NP_014877.3, NP_015182.1	XP_009856122.1
OG0000568	NP_001018840.1	NP_010242.1, NP_014573.1	XP_009854858.1
OG0000569	NP_001018848.1	NP_010640.1, NP_011974.1	XP_009856038.1
OG0000570	NP_001342712.1, NP_596154.1	NP_012483.3	XP_009851952.1
OG0000571	NP_001342723.1	NP_012901.3	XP_009853789.1, XP_009857231.1
OG0000572	NP_001342724.1	NP_013902.1, NP_015100.2	XP_009850560.1
OG0000573	NP_001342725.1	NP_013458.1	XP_009853206.1, XP_009855244.1
OG0000574	NP_001342743.1	NP_009993.1, NP_014423.1	XP_009851146.1
OG0000575	NP_001342754.1, NP_588313.2	NP_013576.1	XP_009855318.1
OG0000576	NP_001342763.1, NP_594496.1	NP_012296.1	XP_009847426.1
OG0000577	NP_001342768.1, NP_596621.1	NP_010393.3	XP_009850162.1
OG0000578	NP_001342790.1	NP_009773.1, NP_011459.2	XP_009853413.1
OG0000579	NP_001342798.1, NP_592933.1	NP_010856.1	XP_009855113.1
OG0000580	NP_001342815.1	NP_010534.1	XP_009848949.1, XP_009856583.1
OG0000581	NP_001342827.1, NP_596800.2	NP_013060.1	XP_009853715.1
OG0000582	NP_001342838.1		XP_009851354.1, XP_009851761.1, XP_009855199.1
OG0000583	NP_001342839.1, NP_593572.1	NP_012485.1	XP_009852471.1
OG0000584	NP_001342853.1, NP_595602.1	NP_011786.1	XP_009850643.1
OG0000585	NP_001342861.1, NP_593660.1	NP_011091.1	XP_009856397.1
OG0000586	NP_001342872.1, NP_596193.1	NP_009343.1	XP_009857315.1
OG0000587	NP_001342881.1, NP_588442.1	NP_010778.3	XP_009852662.1
OG0000588	NP_001342887.1	NP_012838.1	XP_009849014.1, XP_009850715.1
OG0000589	NP_001342895.1	NP_011934.1	XP_009850684.1, XP_009855886.1
OG0000590	NP_001342898.1, NP_587815.1	NP_012986.1	XP_009849171.1
OG0000591	NP_001342922.1	NP_011418.1	XP_009854305.1, XP_009857013.1
OG0000592	NP_001342926.1	NP_012790.1, NP_013831.1	XP_009847958.1
OG0000593	NP_001342939.1	NP_012423.1, NP_012962.3	XP_009848840.1
OG0000594	NP_001342943.1	NP_009385.2, NP_014597.1	XP_009850755.1
OG0000595	NP_001342966.1	NP_012152.3, NP_014343.1	XP_009847581.1
OG0000596	NP_001342976.1	NP_009728.1, NP_015219.1	XP_009850105.1
OG0000597	NP_001342977.1, NP_593348.2	NP_012267.1	XP_009856420.1
OG0000598	NP_001343002.1, NP_593279.2	NP_015193.1	XP_009852057.1
OG0000599	NP_001417923.1	NP_011640.1, NP_015471.1	XP_009847582.1
OG0000600	NP_001417930.1, NP_595589.1	NP_015234.1	XP_009852446.1
OG0000601	NP_001417931.1	NP_010739.3, NP_013685.1	XP_009856188.1
OG0000602	NP_001417969.1, NP_596547.1	NP_010405.3	XP_009849476.1
OG0000603	NP_001417976.1	NP_010120.1, NP_013307.1	XP_009854099.1
OG0000604	NP_587686.1, NP_587689.2, NP_587690.1, NP_587707.1		
OG0000605	NP_587693.1	NP_010090.1, NP_010145.1	XP_009856575.1
OG0000606	NP_587706.1	NP_013210.1	XP_009852976.1, XP_009856306.1
OG0000607	NP_587712.1	NP_012781.1, NP_013836.1	XP_009848618.1
OG0000608	NP_587737.1	NP_011435.1	XP_009851484.1, XP_009854938.1
OG0000609	NP_587758.1, NP_588132.1	NP_012889.3	XP_009857254.1
OG0000610	NP_587764.1, NP_588138.1		XP_009850437.1, XP_009855592.1
OG0000611	NP_587785.1, NP_588048.1	NP_013146.1	XP_009853173.1
OG0000612	NP_587792.1	NP_009388.2, NP_011303.1	XP_009851020.1
OG0000613	NP_587803.1	NP_014904.3	XP_009849975.1, XP_009851970.1
OG0000614	NP_587813.1	NP_012001.1, NP_014243.3	XP_009850551.1
OG0000615	NP_587821.1	NP_009801.1, NP_011414.1	XP_009849572.1
OG0000616	NP_587829.1	NP_014106.1, NP_014529.1	XP_009849527.1
OG0000617	NP_587841.1, NP_595711.1	NP_012358.1, NP_012741.1	
OG0000618	NP_587868.1, NP_596632.1	NP_014210.1	XP_009848027.1
OG0000619	NP_587869.1, NP_595206.1	NP_015014.3	XP_009850593.1
OG0000620	NP_587880.1, NP_596777.1	NP_012782.1	XP_009855234.1
OG0000621	NP_587881.1, NP_594864.1	NP_010858.3	XP_009847844.1
OG0000622	NP_587882.1, NP_594863.1	NP_014934.1	XP_009847256.1
OG0000623	NP_587900.1, NP_596319.1	NP_015507.1	XP_009847971.1
OG0000624	NP_587902.1, NP_596254.1	NP_009757.1	XP_009847705.1
OG0000625	NP_587907.1, NP_596326.1	NP_011412.1	XP_009848240.1
OG0000626	NP_587919.1, NP_596311.1	NP_010579.1	XP_009848064.1
OG0000627	NP_587920.1	NP_009999.2, NP_014432.3	XP_009850875.1
OG0000628	NP_587929.1	NP_013004.3, NP_014712.2	XP_009847247.1
OG0000629	NP_587933.1, NP_595093.1	NP_012348.1	XP_009847568.1
OG0000630	NP_587951.1	NP_015117.1	XP_009849266.1, XP_009849272.1
OG0000631	NP_587952.1, NP_593248.2	NP_012891.4	XP_009849804.1
OG0000632	NP_587961.1, NP_594357.1	NP_014602.1	XP_009855850.1
OG0000633	NP_587971.1, NP_592854.2	NP_013740.1	XP_009848665.1
OG0000634	NP_587995.1, NP_596737.1	NP_010713.1	XP_009850769.1
OG0000635	NP_587999.1, NP_588530.1	NP_012338.1	XP_009851244.1
OG0000636	NP_588013.1	NP_011542.3	XP_009849715.1, XP_009852347.1
OG0000637	NP_588024.1	NP_010335.1	XP_009849636.1, XP_009851338.1
OG0000638	NP_588027.1	NP_013128.1, NP_013839.1	XP_009856654.1
OG0000639	NP_588057.2, NP_596506.1	NP_010738.1, NP_013686.1	
OG0000640	NP_588067.1, NP_596678.2	NP_011614.1	XP_009855111.1
OG0000641	NP_588103.1	NP_012666.2	XP_009854028.1, XP_009855458.1
OG0000642	NP_588105.1, NP_596287.1	NP_010337.3	XP_009854627.1
OG0000643	NP_588107.1	NP_009825.4, NP_013491.1	XP_009854425.1
OG0000644	NP_588119.1, NP_594651.2	NP_011095.1	XP_009849747.1
OG0000645	NP_588124.2	NP_011863.1, NP_012928.1	XP_009856194.1
OG0000646	NP_588127.1	NP_014135.1, NP_014168.1	XP_009848409.1
OG0000647	NP_588136.1, NP_594436.1	NP_013349.1	XP_009855992.1
OG0000648	NP_588143.1	NP_010977.2, NP_012212.1	XP_009850540.1
OG0000649	NP_588158.2	NP_012155.1, NP_014346.1	XP_009852350.1
OG0000650	NP_588160.1, NP_596495.1	NP_010244.1	XP_009849123.1
OG0000651	NP_588169.1	NP_013809.1	XP_009849877.1, XP_009856392.1
OG0000652	NP_588180.1, NP_594421.1	NP_009552.1	XP_009853330.1
OG0000653	NP_588181.1	NP_009553.1, NP_010510.3	XP_009853332.1
OG0000654	NP_588184.1	NP_009339.1, NP_015020.3	XP_009848066.1
OG0000655	NP_588186.2	NP_010055.1, NP_014195.1	XP_009849298.1
OG0000656	NP_588190.1	NP_013553.1, NP_013638.1	XP_009856576.1
OG0000657	NP_588191.1		XP_009848355.1, XP_009849658.1, XP_009854334.1
OG0000658	NP_588206.1, NP_593298.1	NP_014657.1	XP_009847347.1
OG0000659	NP_588216.1, NP_595984.1	NP_010633.3	XP_009849698.1
OG0000660	NP_588224.1, NP_592922.1	NP_011351.1	XP_009854104.1
OG0000661	NP_588235.1	NP_013555.1, NP_013636.1	XP_009855572.1
OG0000662	NP_588263.2	NP_012437.1, NP_012953.2	XP_009853123.1
OG0000663	NP_588296.1	NP_010875.1, NP_012582.1	XP_009852185.1
OG0000664	NP_588300.1, NP_594168.2	NP_012104.1	XP_009847611.1
OG0000665	NP_588317.1	NP_009775.3, NP_011455.1	XP_009851066.1
OG0000666	NP_588328.1	NP_010158.1	XP_009849533.1, XP_009852973.1
OG0000667	NP_588339.1	NP_010192.1, NP_013699.1	XP_009855469.1
OG0000668	NP_588345.1	NP_013960.1, NP_014938.3	XP_009853554.1
OG0000669	NP_588352.1	NP_013083.1	XP_009853967.1, XP_009855782.1
OG0000670	NP_588409.2, NP_594201.1	NP_015271.1	XP_009854819.1
OG0000671	NP_588415.1, NP_593716.1	NP_013715.1	XP_009855226.1
OG0000672	NP_588422.1, NP_588469.1	NP_116657.1	XP_009852088.1
OG0000673	NP_588431.1	NP_014094.1	XP_009856829.1, XP_009857400.1
OG0000674	NP_588432.1, NP_588540.1	NP_010443.3	XP_009847996.1
OG0000675	NP_588446.1, NP_596485.1	NP_015112.1	XP_009851362.1
OG0000676	NP_588447.1	NP_011449.1	XP_009849386.1, XP_009851309.1
OG0000677	NP_588478.1	NP_015353.1	XP_009847826.1, XP_009854297.1
OG0000678	NP_588485.1	NP_010944.1, NP_011307.1	XP_009847338.1
OG0000679	NP_588503.1	NP_014840.4	XP_009853372.1, XP_009855882.1
OG0000680	NP_588544.1, NP_596160.1	NP_011789.1, NP_014024.1	
OG0000681	NP_592764.1, NP_592774.1, NP_595031.1, NP_596865.1		
OG0000682	NP_592765.1, NP_592775.1, NP_595030.1, NP_596863.1		
OG0000683	NP_592798.1, NP_593060.2, NP_595010.1		XP_009848128.1
OG0000684	NP_592806.1		XP_009847290.1, XP_009850614.1, XP_009855305.1
OG0000685	NP_592809.1, NP_592810.1	NP_012707.1	XP_009847373.1
OG0000686	NP_592842.1	NP_010954.1, NP_011291.1	XP_009850111.1
OG0000687	NP_592846.1	NP_011759.1, NP_012032.1	XP_009856302.1
OG0000688	NP_592849.1, NP_594759.1	NP_011093.3	XP_009855128.1
OG0000689	NP_592856.2	NP_011524.1, NP_013432.1	XP_009854428.1
OG0000690	NP_592862.1, NP_595777.2	NP_011967.1	XP_009847286.1
OG0000691	NP_592873.1, NP_592910.3	NP_010007.1	XP_009850710.1
OG0000692	NP_592874.1	NP_012317.1	XP_009852868.1, XP_009853885.1
OG0000693	NP_592887.1	NP_011433.3, NP_015133.1	XP_009852443.1
OG0000694	NP_592895.1, NP_596771.1	NP_009502.1	XP_009852427.1
OG0000695	NP_592903.1	NP_011574.3	XP_009849421.1, XP_009853109.1
OG0000696	NP_592932.1	NP_013227.1	XP_009849498.1, XP_009851040.1
OG0000697	NP_592951.3	NP_011431.1, NP_015135.1	XP_009856695.1
OG0000698	NP_592955.2, NP_593018.1	NP_010702.4	XP_009856175.1
OG0000699	NP_592967.1	NP_014869.3, NP_015190.1	XP_009853662.1
OG0000700	NP_592973.1	NP_013091.1, NP_013119.1	XP_009856073.1
OG0000701	NP_592977.1	NP_009940.2	XP_009847968.1, XP_009855109.1
OG0000702	NP_592978.1, NP_593079.1	NP_013791.1	XP_009851196.1
OG0000703	NP_592981.1	NP_010550.1, NP_014677.1	XP_009851398.1
OG0000704	NP_592995.1, NP_594057.1	NP_013484.3	XP_009852830.1
OG0000705	NP_593003.1	NP_013796.1	XP_009849847.1, XP_009853498.1
OG0000706	NP_593006.1	NP_009444.2, NP_015357.1	XP_009852883.1
OG0000707	NP_593023.1, NP_595514.1	NP_013005.1	XP_009851010.1
OG0000708	NP_593035.1	NP_009531.1	XP_009849388.1, XP_009850116.1
OG0000709	NP_593037.2, NP_593217.1	NP_014736.1	XP_009851018.1
OG0000710	NP_593097.2	NP_012002.1	XP_009855333.1, XP_009855976.1
OG0000711	NP_593100.1	NP_009481.1, NP_011028.1	XP_009851888.1
OG0000712	NP_593110.1	NP_009981.1, NP_014420.1	XP_009852663.1
OG0000713	NP_593112.1, NP_595209.1	NP_014276.1	XP_009850173.1
OG0000714	NP_593123.1	NP_010697.3, NP_014799.1	XP_009850717.1
OG0000715	NP_593127.1	NP_012452.1, NP_012944.3	XP_009850787.1
OG0000716	NP_593135.1	NP_013157.1	XP_009849083.1, XP_009850712.1
OG0000717	NP_593148.1	NP_014148.1	XP_009852082.1, XP_009855681.1
OG0000718	NP_593162.1, NP_594547.1	NP_013245.1	XP_009853973.1
OG0000719	NP_593176.1	NP_009544.1, NP_011494.1	XP_009851177.1
OG0000720	NP_593177.1, NP_596041.1	NP_013578.1	XP_009849622.1
