Orthogroup	GCA_900044135.1_GZPH1RResV1_protein	GCF_000182925.2_NC12_protein	GCF_000213175.1_v2.0_protein
OG0000755	CEF84601.1, CEF88207.1, SCB65079.1	XP_963885.1	XP_009856847.1
OG0000756	CEF84634.1	XP_011394258.1, XP_011394259.1, XP_011394260.1	XP_009849335.1
OG0000757	CEF84664.1	XP_011394627.1, XP_011394628.1, XP_011394629.1	XP_009847667.1
OG0000758	CEF84738.1	XP_959564.2, XP_963395.1	XP_009852699.1, XP_009853597.1
OG0000759	CEF84809.1, CEF86030.1	XP_011394190.1, XP_011394191.1	XP_009849421.1
OG0000760	CEF84898.1, CEF85797.1	XP_011394317.1, XP_011394318.1	XP_009850016.1
OG0000761	CEF84933.1	XP_957210.2, XP_961761.1	XP_009849961.1, XP_009850873.1
OG0000762	CEF84941.1	XP_011395217.1, XP_011395218.1, XP_011395219.1	XP_009853309.1
OG0000763	CEF84967.1	XP_011394327.1, XP_011394328.1, XP_011394329.1	XP_009850051.1
OG0000764	CEF85148.1	XP_001728373.1, XP_958152.2	XP_009851306.1, XP_009856230.1
OG0000765	CEF85213.1	XP_011395167.1, XP_011395168.1, XP_011395169.1	XP_009853358.1
OG0000766	CEF85215.1	XP_011394882.1, XP_011394883.1, XP_011394884.1	XP_009854537.1
OG0000767	CEF85278.1	XP_011393736.1, XP_011393737.1, XP_011393738.1	XP_009850847.1
OG0000768	CEF85319.1, CEF85799.1	XP_011393790.1, XP_011393791.1	XP_009851000.1
OG0000769	CEF85596.1	XP_011393321.1, XP_011393322.1, XP_011393323.1	XP_009856020.1
OG0000770	CEF85646.1	XP_960492.1, XP_961011.2	XP_009847831.1, XP_009854290.1
OG0000771	CEF85654.1	XP_011395211.1, XP_965596.2	XP_009853722.1, XP_009856942.1
OG0000772	CEF85766.1	XP_011395147.1, XP_011395148.1, XP_011395149.1	XP_009853418.1
OG0000773	CEF85782.1	XP_011394675.1, XP_011394676.1, XP_011394677.1	XP_009848496.1
OG0000774	CEF85822.1, CEF86356.1, SCB65525.1	XP_961718.1	XP_009847189.1
OG0000775	CEF85824.1	XP_958755.2, XP_964376.2	XP_009853099.1, XP_009855707.1
OG0000776	CEF85931.1	XP_011393779.1, XP_011393780.1, XP_011393781.1	XP_009850971.1
OG0000777	CEF86004.1	XP_956945.3, XP_960958.3	XP_009847221.1, XP_009853174.1
OG0000778	CEF86050.1	XP_011394740.1, XP_011394741.1, XP_011394742.1	XP_009848685.1
OG0000779	CEF86165.1, SCB64746.1	XP_011393809.1, XP_011393810.1	XP_009851084.1
OG0000780	CEF86507.1	XP_011395317.1, XP_011395318.1, XP_011395319.1	XP_009852950.1
OG0000781	CEF86527.1	XP_011393640.1, XP_011393641.1, XP_011393642.1	XP_009851684.1
OG0000782	CEF86584.1	XP_957515.2, XP_964661.1	XP_009848821.1, XP_009855352.1
OG0000783	CEF86755.1, CEF86881.1, CEF87194.1	XP_964214.3	XP_009856167.1
OG0000784	CEF86760.1, CEF87870.1, CEF87894.1	XP_962562.2	XP_009849506.1
OG0000785	CEF86884.1, CEF88112.1, CEF88666.1	XP_011393300.1, XP_011393301.1	
OG0000786	CEF86965.1	XP_011394136.1, XP_011394137.1, XP_011394138.1	XP_009848742.1
OG0000787	CEF87079.1	XP_960894.2, XP_961576.1	XP_009847816.1, XP_009848052.1
OG0000788	CEF87105.1	XP_001728307.2, XP_960356.3	XP_009848088.1, XP_009854038.1
OG0000789	CEF87144.1, CEF87795.1	XP_011394174.1, XP_011394175.1	XP_009848772.1
OG0000790	CEF87247.1, SCB64530.1	XP_011394647.1, XP_011394648.1	XP_009847604.1
OG0000791	CEF87253.1	XP_011394599.1, XP_011394600.1, XP_011394601.1	XP_009847342.1
OG0000792	CEF87356.1	XP_011393982.1, XP_011393983.1, XP_011393984.1	XP_009851291.1
OG0000793	CEF87405.1, SCB64109.1	XP_011392932.1, XP_011392933.1	XP_009855293.1
OG0000794	CEF87433.1	XP_011393643.1, XP_011393644.1, XP_011393645.1	XP_009851672.1
OG0000795	CEF87528.1, SCB64982.1	XP_011395372.1, XP_011395373.1	XP_009853436.1
OG0000796	CEF87677.1	XP_956228.1, XP_958358.1	XP_009850312.1, XP_009851728.1
OG0000797	CEF88015.1, SCB65885.1	XP_011394953.1, XP_011394954.1	XP_009854293.1
OG0000798	CEF88202.1, CEF88449.1, SCB65497.1	XP_962360.2	XP_009849252.1
OG0000799	CEF88314.1	XP_011393471.1, XP_011393472.1, XP_011393473.1	XP_009852059.1
OG0000800	CEF88347.1, SCB65346.1	XP_011395253.1, XP_011395254.1	XP_009852830.1
OG0000801	CEF88483.1	XP_963458.1, XP_963460.1, XP_963461.1, XP_963463.1	
OG0000802	CEF88524.1, SCB64299.1, SCB65999.1	XP_962712.2	XP_009849767.1
OG0000803	CEF88657.1, SCB65614.1	XP_011392808.1, XP_011392809.1	XP_009857219.1
OG0000804	CEF88775.1, SCB64458.1, SCB65589.1	XP_957242.3	XP_009850299.1
OG0000805	SCB64063.1	XP_011392864.1, XP_965139.2	XP_009855821.1, XP_009855823.1
OG0000806	SCB64117.1	XP_956436.2, XP_959861.2	XP_009853749.1, XP_009854770.1
OG0000807	SCB64134.1	XP_965046.3, XP_965047.1, XP_965048.1	XP_009855068.1
OG0000808	SCB64172.1	XP_011392774.1, XP_011392775.1, XP_011392776.1	XP_009857084.1
OG0000809	SCB64193.1	XP_011393018.1, XP_011393019.1, XP_011393020.1	XP_009856536.1
OG0000810	SCB64217.1	XP_011393283.1, XP_011393284.1, XP_011393285.1	XP_009856447.1
OG0000811	SCB64237.1	XP_011393094.1, XP_011393095.1, XP_011393096.1	XP_009856314.1
OG0000812	SCB64240.1	XP_011393481.1, XP_011393482.1, XP_011393483.1	XP_009852072.1
OG0000813	SCB64242.1	XP_011393493.1, XP_011393494.1, XP_011393495.1	XP_009852111.1
OG0000814	SCB64335.1, SCB64866.1	XP_011392991.1, XP_011392992.1	XP_009856645.1
OG0000815	SCB64387.1	XP_956424.1, XP_959114.2	XP_009848984.1, XP_009854779.1
OG0000816	SCB64429.1	XP_011394141.1, XP_011394142.1, XP_011394143.1	XP_009850157.1
OG0000817	SCB64621.1	XP_011395341.1, XP_011395342.1, XP_011395343.1	XP_009853123.1
OG0000818	SCB64759.1	XP_011393813.1, XP_011393814.1, XP_011393815.1	XP_009851096.1
OG0000819	SCB64769.1, SCB65114.1	XP_957741.2, XP_957743.3	XP_009851048.1
OG0000820	SCB64882.1	XP_956341.1, XP_962053.1	XP_009850001.1, XP_009854794.1
OG0000821	SCB64925.1	XP_011394188.1, XP_011394189.1	XP_009848517.1, XP_009849425.1
OG0000822	SCB64958.1	XP_011393478.1, XP_011393479.1, XP_011393480.1	XP_009852071.1
OG0000823	SCB65029.1	XP_960272.3, XP_962183.2	XP_009849995.1, XP_009853947.1
OG0000824	SCB65134.1	XP_011393243.1, XP_011393244.1, XP_011393245.1	XP_009856110.1
OG0000825	SCB65138.1	XP_011393863.1, XP_011393864.1, XP_011393865.1	XP_009851260.1
OG0000826	SCB65160.1	XP_011393896.1, XP_011393897.1, XP_011393898.1	XP_009850757.1
OG0000827	SCB65269.1	XP_011394532.1, XP_011394533.1, XP_011394534.1	XP_009847757.1
OG0000828	SCB65289.1	XP_011395264.1, XP_011395265.1, XP_011395266.1	XP_009853023.1
OG0000829	SCB65334.1, SCB65736.1	XP_011393955.1, XP_011393956.1	XP_009851405.1
OG0000830	SCB65344.1	XP_011395144.1, XP_011395145.1, XP_011395146.1	XP_009853420.1
OG0000831	SCB65426.1	XP_011394982.1, XP_011394983.1, XP_011394984.1	XP_009854609.1
OG0000832	SCB65502.1	XP_011392973.1, XP_011392974.1, XP_011392975.1	XP_009856698.1
OG0000833	SCB65505.1	XP_011393111.1, XP_011393112.1, XP_011393113.1	XP_009856235.1
OG0000834	SCB65527.1	XP_011394183.1, XP_011394184.1, XP_011394185.1	XP_009849446.1
OG0000835	SCB65565.1	XP_011393563.1, XP_960209.2	XP_009852420.1, XP_009854180.1
OG0000836	SCB65591.1	XP_011394961.1, XP_011394962.1, XP_011394963.1	XP_009854259.1
OG0000837	SCB65607.1	XP_958218.3, XP_960153.2	XP_009853040.1, XP_009854343.1
OG0000838	SCB65648.1	XP_011392786.1, XP_011392787.1, XP_011392788.1	XP_009857154.1
OG0000839	SCB65911.1	XP_011393976.1, XP_011393977.1, XP_011393978.1	XP_009851290.1
OG0000840		XP_001728006.1, XP_958335.2, XP_960129.3	XP_009855899.1, XP_009857300.1
OG0000841		XP_001728163.1, XP_959575.2, XP_964771.1	XP_009853643.1, XP_009855727.1
OG0000842		XP_011393185.1, XP_011393186.1, XP_961709.1	XP_009848136.1, XP_009854982.1
OG0000843		XP_011394715.1, XP_011394716.1, XP_964162.3	XP_009847430.1, XP_009855633.1
OG0000844		XP_011394797.1, XP_960983.2	XP_009847124.1, XP_009848678.1, XP_009851885.1
OG0000845		XP_011394999.1, XP_011395000.1, XP_011395001.1, XP_011395002.1	XP_009853970.1
OG0000846		XP_956231.1, XP_965196.2	XP_009850350.1, XP_009853780.1, XP_009854997.1
OG0000847		XP_958522.1, XP_964832.1	XP_009847397.1, XP_009855624.1, XP_009857379.1
OG0000848		XP_959103.1, XP_960757.1	XP_009852789.1, XP_009852831.1, XP_009854913.1
OG0000849		XP_959359.1, XP_959368.1	XP_009849026.1, XP_009849030.1, XP_009849039.1
OG0000850		XP_962749.3, XP_962751.1	XP_009848961.1, XP_009848962.1, XP_009848963.1
OG0000851	CEF74479.1, CEF88303.1	XP_955901.3	XP_009847150.1
OG0000852	SCB64597.1	XP_958501.2	XP_009851548.1, XP_009852869.1
OG0000853	CEF76146.1, CEF84439.1	XP_963398.2	XP_009851766.1
OG0000854	CEF76344.1, SCB64975.1	XP_965426.1	XP_009856634.1
OG0000855	CEF79706.1, SCB64743.1	XP_960323.3	XP_009853922.1
OG0000856	CEF73782.1, SCB65001.1	XP_960481.1	XP_009854298.1
OG0000857	CEF77852.1, CEF87097.1	XP_964938.1	XP_009855652.1
OG0000858	CEF78786.1, CEF79438.1	XP_960645.1	XP_009847391.1
OG0000859	CEF74204.1, CEF79719.1	XP_960768.1	XP_009847109.1
OG0000860	CEF77682.1, CEF85329.1	XP_956001.1	XP_009852033.1
OG0000861	CEF78333.1, CEF84029.1	XP_965713.1	XP_009856705.1
OG0000862	CEF78707.1, CEF86782.1	XP_963898.1	XP_009855868.1
OG0000863	CEF83697.1, CEF86865.1	XP_964364.3	XP_009855693.1
OG0000864	SCB64999.1	XP_011394614.1, XP_011394615.1	XP_009847252.1
OG0000865	CEF77624.1, SCB64417.1	XP_963897.2	XP_009855867.1
OG0000866	CEF71864.1, CEF87746.1	XP_959242.1	XP_009852990.1
OG0000867	CEF77425.1, CEF77506.1	XP_965535.3	XP_009856897.1
OG0000868	CEF78094.1, CEF83793.1	XP_957532.1	XP_009854538.1
OG0000869	CEF78231.1, CEF87556.1	XP_956804.3	XP_009852617.1
OG0000870	CEF72536.1, SCB65526.1	XP_963761.1	XP_009856437.1
OG0000871	CEF78332.1, CEF87828.1	XP_960276.1	XP_009853943.1
OG0000872	CEF76048.1	XP_958356.1	XP_009851726.1, XP_009857286.1
OG0000873	CEF84825.1, CEF87258.1	XP_957922.2	XP_009848714.1
OG0000874	CEF73736.1, CEF84171.1	XP_964773.2	XP_009855730.1
OG0000875	CEF84676.1, CEF85219.1	XP_001728262.2	XP_009853164.1
OG0000876	CEF77222.1, CEF79240.1	XP_965428.2	XP_009856632.1
OG0000877	CEF79298.1, CEF83169.1	XP_959425.2	XP_009853259.1
OG0000878	CEF77834.1, CEF88803.1	XP_011395380.1	XP_009853588.1
OG0000879	CEF71891.1, CEF74008.1, CEF79630.1, CEF86953.1		
OG0000880	CEF76377.1, CEF78160.1, CEF78701.1, CEF83926.1		
OG0000881	CEF84378.1, CEF88604.1	XP_964441.1	XP_009849281.1
OG0000882	CEF73846.1, CEF87073.1	XP_001728277.1	XP_009851472.1
OG0000883	CEF78205.1, CEF82803.1	XP_961872.3	XP_009850199.1
OG0000884	CEF75800.1, SCB64491.1	XP_957512.1	XP_009849604.1
OG0000885	CEF78138.1, CEF83082.1, CEF85888.1, SCB64722.1		
OG0000886	CEF84052.1, CEF88126.1	XP_001728155.2	XP_009853926.1
OG0000887	CEF71907.1, CEF71929.1, CEF78082.1, CEF78443.1		
OG0000888	CEF85676.1, CEF87564.1	XP_961317.2	XP_009847685.1
OG0000889	CEF85934.1, SCB64374.1	XP_955835.1	XP_009852593.1
OG0000890	CEF78077.1, CEF88299.1	XP_959690.1	XP_009853054.1
OG0000891	CEF74601.1, CEF83582.1	XP_960586.3	XP_009847131.1
OG0000892	CEF74261.1, CEF74426.1, CEF76745.1, CEF86773.1		
OG0000893	CEF78087.1, CEF88821.1	XP_001728023.1	XP_009850403.1
OG0000894	CEF72929.1, CEF74964.1	XP_959075.1	XP_009850404.1
OG0000895	CEF75729.1, CEF87078.1	XP_959360.1	XP_009849029.1
OG0000896	CEF87712.1	XP_011393501.1, XP_011393502.1	XP_009852135.1
OG0000897	CEF85506.1	XP_011394926.1, XP_011394927.1	XP_009854135.1
OG0000898	CEF72111.1, CEF73860.1	XP_963274.1	XP_009851793.1
OG0000899	CEF78734.1, CEF79777.1, CEF83376.1, CEF83932.1		
OG0000900	SCB65833.1, SCB65933.1	XP_962714.3	XP_009849768.1
OG0000901	CEF76388.1, CEF78812.1	XP_959388.1	XP_009849060.1
OG0000902	CEF72744.1, CEF77986.1	XP_001728187.1	XP_009856039.1
OG0000903	CEF76174.1, CEF84344.1	XP_965187.1	XP_009854990.1
OG0000904	CEF78061.1, SCB65530.1	XP_958837.2	XP_009848566.1
OG0000905	CEF74755.1, CEF78129.1	XP_958752.1	XP_009853102.1
OG0000906	CEF74192.1, CEF78680.1	XP_960346.1	XP_009853968.1
OG0000907	CEF76257.1, CEF77680.1	XP_957384.1	XP_009847416.1
OG0000908	CEF79763.1, CEF88144.1	XP_959876.2	XP_009853764.1
OG0000909	CEF78339.1, CEF78955.1	XP_956921.2	XP_009849532.1
OG0000910	CEF78397.1	XP_011394553.1, XP_011394554.1	XP_009848379.1
OG0000911	CEF72029.1	XP_965185.1, XP_965186.2	XP_009854989.1
OG0000912	CEF88387.1, SCB65917.1	XP_964849.1	XP_009857396.1
OG0000913	CEF76538.1, CEF79676.1	XP_957393.3	XP_009847180.1
OG0000914	CEF72329.1, CEF83743.1	XP_962093.2	XP_009849100.1
OG0000915		XP_959431.1, XP_962581.3	XP_009849491.1, XP_009853544.1
OG0000916	CEF76547.1, CEF83705.1	XP_960193.3	XP_009853876.1
OG0000917	CEF78476.1, CEF83609.1	XP_959875.2	XP_009853761.1
OG0000918	CEF78104.1, CEF82845.1	XP_958819.2	XP_009854588.1
OG0000919	CEF72491.1, CEF79322.1	XP_963409.1	XP_009851756.1
OG0000920	CEF73857.1, CEF83547.1	XP_959059.2	XP_009851342.1
OG0000921	CEF78989.1, CEF87114.1	XP_011393717.1	XP_009851626.1
OG0000922	CEF87082.1	XP_011393920.1, XP_011393921.1	XP_009850612.1
OG0000923	CEF74001.1, SCB64678.1	XP_001728310.2	XP_009847023.1
OG0000924	CEF78562.1, CEF85987.1	XP_961900.1	XP_009849414.1
OG0000925	CEF76382.1, SCB64991.1	XP_957401.1	XP_009847086.1
OG0000926	CEF76118.1, SCB64858.1	XP_964372.3	XP_009855702.1
OG0000927	CEF77973.1, CEF87102.1, CEF88804.1, SCB64307.1		
OG0000928	CEF76823.1, CEF77872.1	XP_960117.1	XP_009854158.1
OG0000929	SCB65116.1	XP_011394693.1, XP_011394694.1	XP_009847840.1
OG0000930	CEF75235.1, CEF87541.1	XP_964183.3	XP_009854954.1
OG0000931	CEF87244.1	XP_011394382.1, XP_011394383.1	XP_009849322.1
OG0000932	CEF79441.1	XP_011394555.1, XP_011394556.1	XP_009848374.1
OG0000933	SCB64614.1	XP_011394623.1, XP_011394624.1	XP_009847677.1
OG0000934	CEF72626.1, CEF85617.1	XP_965783.1	XP_009857207.1
OG0000935	CEF78605.1, CEF86516.1	XP_962600.1	XP_009849918.1
OG0000936	CEF72691.1, CEF86223.1	XP_958562.1	XP_009852947.1
OG0000937	CEF73896.1, CEF86685.1	XP_965606.1	XP_009856952.1
OG0000938	SCB64466.1	XP_011394678.1, XP_011394679.1	XP_009848520.1
OG0000939	CEF79702.1, CEF86291.1	XP_011393324.1	XP_009854984.1
OG0000940	CEF78366.1, CEF86032.1	XP_958437.3	XP_009850379.1
OG0000941	CEF77844.1, SCB65272.1, SCB65317.1, SCB65570.1		
OG0000942	CEF75344.1, CEF88116.1	XP_962586.2	XP_009849485.1
OG0000943	CEF78421.1, CEF86597.1	XP_957924.2	XP_009848803.1
OG0000944	CEF75674.1, CEF75876.1	XP_958967.1	XP_009852914.1
OG0000945	CEF78053.1, CEF86196.1	XP_011394707.1, XP_011394708.1	
OG0000946	CEF75561.1, CEF76539.1	XP_961054.3	XP_009847323.1
OG0000947	CEF72745.1	XP_011393344.1, XP_011393345.1	XP_009855323.1
OG0000948	SCB64820.1, SCB65476.1	XP_958627.1	XP_009854623.1
OG0000949	CEF72610.1, SCB65865.1	XP_963492.1	XP_009852385.1
OG0000950	CEF73042.1, CEF74713.1	XP_964365.1	XP_009855694.1
OG0000951	CEF76234.1, CEF86937.1	XP_011393546.1	XP_009852567.1
OG0000952	CEF78619.1, CEF79764.1	XP_959877.2	XP_009853765.1
OG0000953	CEF84640.1, CEF87450.1	XP_958254.1	XP_009848622.1
OG0000954	CEF84422.1, CEF88433.1	XP_965595.2	XP_009856940.1
OG0000955	CEF86460.1	XP_011394768.1, XP_011394815.1	XP_009848532.1
OG0000956	CEF85387.1, SCB64979.1	XP_959849.1	XP_009853734.1
OG0000957	CEF78388.1, CEF88888.1	XP_962055.1	XP_009849999.1
OG0000958	CEF74061.1, CEF77740.1	XP_957987.1	XP_009853084.1
OG0000959	CEF75932.1, SCB65949.1	XP_959824.1	XP_009853273.1
OG0000960	CEF79695.1, CEF83947.1	XP_965031.2	XP_009855083.1
OG0000961	CEF86617.1	XP_011393181.1, XP_011393182.1	XP_009855061.1
OG0000962	CEF73074.1	XP_011393189.1, XP_011393190.1	XP_009856025.1
OG0000963	CEF78728.1, SCB65142.1	XP_959017.1	XP_009851280.1
OG0000964	CEF73403.1	XP_011393023.1, XP_011393024.1	XP_009856526.1
OG0000965	CEF77750.1, SCB64486.1	XP_965328.3	XP_009856226.1
OG0000966	CEF78757.1, CEF87015.1	XP_957063.1	XP_009849548.1
OG0000967	SCB65031.1	XP_011394157.1, XP_011394158.1	XP_009849516.1
OG0000968	SCB64728.1	XP_011394201.1, XP_011394202.1	XP_009849260.1
OG0000969	CEF79634.1, CEF87765.1	XP_957245.3	XP_009850907.1
OG0000970	CEF72006.1, CEF74978.1	XP_961058.3	XP_009848104.1
OG0000971	CEF72035.1, CEF74565.1	XP_959852.1	XP_009853737.1
OG0000972	CEF74331.1, SCB64092.1	XP_961677.1	XP_009848166.1
OG0000973	CEF72503.1, CEF78223.1	XP_964030.3	XP_009857355.1
OG0000974	CEF83160.1, CEF85047.1	XP_957669.2	XP_009854393.1
OG0000975	CEF72975.1, CEF83468.1	XP_958170.1	XP_009848878.1
OG0000976	CEF75468.1, SCB65810.1	XP_961338.2	XP_009848396.1
OG0000977	SCB65337.1	XP_011394114.1, XP_011394115.1	XP_009849043.1
OG0000978	CEF75302.1	XP_011394709.1, XP_011394710.1	XP_009847807.1
OG0000979	CEF75405.1	XP_011394897.1, XP_011394898.1	XP_009854441.1
OG0000980	CEF87147.1	XP_011395161.1, XP_011395162.1	XP_009853380.1
OG0000981	CEF85028.1	XP_011394625.1, XP_011394626.1	XP_009847674.1
OG0000982	CEF75943.1, CEF78828.1	XP_960642.3	XP_009847390.1
OG0000983	CEF77495.1, CEF83326.1	XP_962590.2	XP_009849482.1
OG0000984	CEF85616.1	XP_011394104.1, XP_011394105.1	XP_009849559.1
OG0000985	CEF88036.1, SCB65418.1	XP_958631.3	XP_009854619.1
OG0000986	CEF73554.1, CEF74631.1	XP_956898.1	XP_009852081.1
OG0000987	CEF77561.1, CEF83305.1	XP_958745.1	XP_009853111.1
OG0000988	CEF71848.1, CEF87710.1	XP_963311.2	XP_009851861.1
OG0000989	CEF86280.1, CEF87619.1	XP_957510.3	XP_009849606.1
OG0000990	CEF73132.1, SCB64381.1	XP_965335.1	XP_009856219.1
OG0000991	CEF74063.1, CEF78345.1	XP_957943.3	XP_009848473.1
OG0000992	CEF77446.1	XP_011392887.1, XP_011392888.1	XP_009856879.1
OG0000993	CEF74380.1, CEF78370.1	XP_965191.1	XP_009854993.1
OG0000994	CEF83720.1, CEF87978.1	XP_956601.1	XP_009850995.1
OG0000995	CEF78034.1	XP_011395327.1, XP_011395328.1	XP_009853080.1
OG0000996	CEF74420.1, CEF88253.1	XP_960622.2	XP_009847283.1
OG0000997	CEF83664.1	XP_011394002.1, XP_011394003.1	XP_009850261.1
OG0000998	CEF74840.1	XP_011393773.1, XP_011393774.1	XP_009850936.1
OG0000999	CEF83858.1, SCB64298.1	XP_962265.2	XP_009849199.1
OG0001000	CEF75981.1, CEF76441.1	XP_964990.2	XP_009856325.1
OG0001001	CEF77178.1	XP_011394995.1, XP_011394996.1	XP_009853974.1
OG0001002	CEF77988.1, SCB65375.1	XP_962297.3	XP_009849317.1
OG0001003	CEF72352.1	XP_011393247.1, XP_011393248.1	XP_009856097.1
OG0001004	SCB65207.1	XP_011394557.1, XP_011394558.1	XP_009848369.1
OG0001005	CEF72867.1	XP_011393179.1, XP_011393180.1	XP_009855079.1
OG0001006	CEF72872.1, CEF78295.1	XP_964765.1	XP_009855810.1
OG0001007	CEF72931.1, CEF85927.1	XP_965003.2	XP_009856685.1
OG0001008	CEF73336.1	XP_011393145.1, XP_011393146.1	XP_009856151.1
OG0001009	CEF73862.1	XP_011393372.1, XP_965621.3	XP_009854936.1
OG0001010	CEF74197.1, CEF78463.1	XP_957450.3	XP_009847152.1
OG0001011	CEF78758.1, CEF88214.1	XP_957084.2	XP_009853872.1
OG0001012	CEF74286.1, SCB65066.1	XP_958280.1	XP_009847375.1
OG0001013	CEF74585.1, CEF79707.1	XP_011393363.1	XP_009856736.1
OG0001014	CEF74810.1	XP_011393887.1, XP_011393888.1	XP_009850715.1
OG0001015	CEF75739.1, CEF77796.1	XP_011393608.1	XP_009851776.1
OG0001016	CEF75130.1, CEF85972.1	XP_957875.2	XP_009856483.1
OG0001017	CEF88005.1	XP_011393723.1, XP_011393724.1	XP_009850812.1
OG0001018	CEF75528.1, CEF75544.1	XP_961329.1	XP_009848402.1
OG0001019	CEF75630.1	XP_956090.3, XP_961721.3	XP_009848128.1
OG0001020	CEF76064.1, CEF76089.1, CEF78746.1		XP_009856834.1
OG0001021	CEF76467.1, CEF76764.1	XP_960079.1	XP_009853699.1
OG0001022	CEF76726.1, CEF78858.1	XP_960391.1	XP_009854142.1
OG0001023	CEF83168.1, CEF86795.1	XP_960726.1	XP_009847679.1
OG0001024	CEF78783.1, CEF83464.1	XP_963096.3	XP_009850751.1
OG0001025	CEF77351.1, CEF77354.1	XP_964324.1	XP_009854942.1
OG0001026	CEF84197.1, SCB65054.1	XP_957834.1	XP_009850282.1
OG0001027	CEF77595.1, CEF87702.1	XP_955880.3	XP_009852588.1
OG0001028	CEF77674.1, CEF86157.1	XP_962122.3	XP_009849897.1
OG0001029	CEF78351.1, CEF86434.1	XP_962219.1	XP_009849440.1
OG0001030	CEF85873.1, SCB65813.1	XP_959082.1	XP_009850411.1
OG0001031	SCB65799.1	XP_958179.2	XP_009848472.1, XP_009850300.1
OG0001032	CEF79467.1	XP_011395300.1, XP_011395301.1	XP_009854847.1
OG0001033	CEF79716.1, CEF84580.1	XP_965711.1	XP_009856707.1
OG0001034	CEF84599.1, SCB65211.1	XP_960826.3	XP_009847069.1
OG0001035	CEF85192.1, SCB65016.1	XP_959787.1	XP_009853405.1
OG0001036	CEF86963.1	XP_011394211.1, XP_011394212.1	XP_009849944.1
OG0001037	CEF87272.1	XP_011393721.1, XP_011393722.1	XP_009850805.1
OG0001038	SCB65508.1, SCB65761.1	XP_956088.1	XP_009854355.1
OG0001039	SCB64133.1	XP_011392859.1, XP_011392860.1	XP_009855803.1
OG0001040	SCB64764.1	XP_011393788.1, XP_011393789.1	XP_009850994.1
OG0001041	SCB64101.1	XP_011392846.1, XP_011392847.1	XP_009855766.1
OG0001042	CEF72769.1, CEF73957.1	XP_964783.3	XP_009855740.1
OG0001043	SCB65622.1	XP_011392798.1, XP_011392799.1	XP_009857201.1
OG0001044	CEF76963.1	XP_011392784.1, XP_011392785.1	XP_009857145.1
OG0001045	CEF71812.1, CEF75681.1	XP_960808.1	XP_009847548.1
OG0001046	CEF71813.1, CEF72794.1	XP_965568.2	XP_009856907.1
OG0001047	CEF71846.1, CEF87720.1	XP_961378.1	XP_009847992.1
OG0001048	CEF71855.1, CEF73757.1, CEF86393.1, CEF87557.1		
OG0001049	CEF71858.1, CEF84115.1	XP_001728278.1	XP_009851474.1
OG0001050	CEF71872.1, CEF83919.1, CEF85110.1, SCB65778.1		
OG0001051	CEF71876.1, CEF74287.1	XP_958082.2	XP_009848645.1
OG0001052	CEF71877.1, CEF72927.1	XP_965006.3	XP_009856683.1
OG0001053	CEF71878.1, CEF86135.1	XP_964948.3	XP_009855662.1
OG0001054	CEF71883.1, SCB64889.1	XP_961973.2	XP_009849307.1
OG0001055	CEF71898.1, CEF71899.1, CEF71900.1, CEF75998.1		
OG0001056	CEF71902.1	XP_963020.2, XP_963021.1	XP_009851465.1
OG0001057	CEF71937.1, CEF74127.1, CEF75068.1, CEF78842.1		
OG0001058	CEF71943.1, CEF87150.1, CEF88565.1, SCB65878.1		
OG0001059	CEF71958.1, CEF71959.1, CEF76345.1, CEF76346.1		
OG0001060	CEF71970.1, CEF76362.1, CEF85441.1		XP_009848514.1
OG0001061	CEF71974.1, SCB65569.1	XP_011394941.1	XP_009854716.1
OG0001062	CEF72015.1, CEF77322.1	XP_961866.1	XP_009850202.1
OG0001063	CEF72072.1, SCB64817.1	XP_964944.1	XP_009855657.1
OG0001064	CEF72082.1, CEF87225.1	XP_961904.3	XP_009849411.1
OG0001065	CEF72094.1, CEF85257.1	XP_958757.1	XP_009847271.1
OG0001066	CEF72100.1, CEF73290.1	XP_965466.1	XP_009856592.1
OG0001067	CEF72128.1, CEF77623.1	XP_959098.1	XP_009850420.1
OG0001068	CEF72130.1	XP_011392778.1, XP_011392779.1	XP_009857107.1
OG0001069	CEF72151.1, CEF75862.1	XP_965747.1	XP_009857075.1
OG0001070	CEF72176.1	XP_011393249.1, XP_011393250.1	XP_009856088.1
OG0001071	CEF72181.1, CEF73932.1	XP_964767.2	XP_009855813.1
OG0001072	CEF72207.1	XP_011393538.1, XP_011393539.1	XP_009851595.1
OG0001073	CEF72208.1	XP_011393540.1, XP_011393541.1	XP_009852509.1
OG0001074	CEF72217.1, SCB65432.1	XP_957570.2	XP_009854506.1
OG0001075	CEF72227.1, CEF87818.1	XP_956909.3	XP_009852089.1
OG0001076	CEF72236.1, CEF73927.1	XP_963677.2	XP_009852308.1
OG0001077	CEF72237.1, CEF86984.1	XP_963675.2	XP_009852307.1
OG0001078	CEF72240.1	XP_011393598.1, XP_011393599.1	XP_009852314.1
OG0001079	CEF72258.1	XP_011395294.1, XP_011395295.1	XP_009852883.1
OG0001080	CEF72267.1, CEF84656.1	XP_959968.3	XP_009852738.1
OG0001081	CEF72278.1	XP_011393158.1, XP_011393159.1	XP_009855922.1
OG0001082	CEF72288.1	XP_011393211.1, XP_011393212.1	XP_009857364.1
OG0001083	CEF72296.1	XP_011393270.1, XP_011393271.1	XP_009856421.1
