fg,nc,nt
FGRAMPH1_01T02735,NCU03096,NEUTE1DRAFT_133316
FGRAMPH1_01T02737,NCU03285,NEUTE1DRAFT_90927
FGRAMPH1_01T02739,NCU11053,NEUTE1DRAFT_74588
FGRAMPH1_01T02743,NCU09269,NEUTE1DRAFT_119293
FGRAMPH1_01T02747,NCU02674,NEUTE1DRAFT_91859
FGRAMPH1_01T02751,NCU02676,NEUTE1DRAFT_126392
FGRAMPH1_01T02755,NCU09235,NEUTE1DRAFT_119309
FGRAMPH1_01T02757,NCU02528,NEUTE1DRAFT_73486
FGRAMPH1_01T02759,NCU02800,NEUTE1DRAFT_93191
FGRAMPH1_01T02763,NCU03098,NEUTE1DRAFT_142586
FGRAMPH1_01T02769,NCU03099,NEUTE1DRAFT_133314
FGRAMPH1_01T02771,NCU03100,NEUTE1DRAFT_105693
FGRAMPH1_01T02773,NCU03101,NEUTE1DRAFT_72641
FGRAMPH1_01T02781,NCU11240,NEUTE1DRAFT_126763
FGRAMPH1_01T02783,NCU03047,NEUTE1DRAFT_92770
FGRAMPH1_01T02791,NCU02988,NEUTE1DRAFT_92657
FGRAMPH1_01T02793,NCU02984,NEUTE1DRAFT_119181
FGRAMPH1_01T02795,NCU02983,NEUTE1DRAFT_115222
FGRAMPH1_01T02797,NCU02982,NEUTE1DRAFT_15958
FGRAMPH1_01T02801,NCU09378,NEUTE1DRAFT_114768
FGRAMPH1_01T02807,NCU09380,NEUTE1DRAFT_150323
FGRAMPH1_01T02809,NCU09381,NEUTE1DRAFT_72951
FGRAMPH1_01T02811,NCU09382,NEUTE1DRAFT_72956
FGRAMPH1_01T02813,NCU07456,NEUTE1DRAFT_88924
FGRAMPH1_01T02815,NCU07457,NEUTE1DRAFT_88920
FGRAMPH1_01T02817,NCU07458,NEUTE1DRAFT_118413
FGRAMPH1_01T02821,NCU00981,NEUTE1DRAFT_149800
FGRAMPH1_01T02823,NCU00977,NEUTE1DRAFT_125742
FGRAMPH1_01T02825,NCU00978,NEUTE1DRAFT_71579
FGRAMPH1_01T02827,NCU08609,NEUTE1DRAFT_106664
FGRAMPH1_01T02841,NCU08597,NEUTE1DRAFT_93383
FGRAMPH1_01T02859,NCU02727,NEUTE1DRAFT_96922
FGRAMPH1_01T02861,NCU02746,NEUTE1DRAFT_91704
FGRAMPH1_01T02863,NCU02745,NEUTE1DRAFT_150345
FGRAMPH1_01T02865,NCU02744,NEUTE1DRAFT_118993
FGRAMPH1_01T02867,NCU02743,NEUTE1DRAFT_96916
FGRAMPH1_01T02869,NCU02742,NEUTE1DRAFT_91712
FGRAMPH1_01T02879,NCU09366,NEUTE1DRAFT_118969
FGRAMPH1_01T02889,NCU09371,NEUTE1DRAFT_118973
FGRAMPH1_01T02909,NCU00973,NEUTE1DRAFT_90262
FGRAMPH1_01T02915,NCU02960,NEUTE1DRAFT_92604
FGRAMPH1_01T02917,NCU08595,NEUTE1DRAFT_126998
FGRAMPH1_01T02931,NCU03074,NEUTE1DRAFT_51132
FGRAMPH1_01T02941,NCU09304,NEUTE1DRAFT_111537
FGRAMPH1_01T02943,NCU07299,NEUTE1DRAFT_121415
FGRAMPH1_01T02947,NCU07294,NEUTE1DRAFT_33905
FGRAMPH1_01T02949,NCU07295,NEUTE1DRAFT_121419
FGRAMPH1_01T02959,NCU03234,NEUTE1DRAFT_126058
FGRAMPH1_01T02961,NCU03233,NEUTE1DRAFT_96764
FGRAMPH1_01T02965,NCU03232,NEUTE1DRAFT_126059
FGRAMPH1_01T02969,NCU07366,NEUTE1DRAFT_149837
FGRAMPH1_01T02975,NCU02694,NEUTE1DRAFT_91817
FGRAMPH1_01T02981,NCU02690,NEUTE1DRAFT_91823
FGRAMPH1_01T02983,NCU02691,NEUTE1DRAFT_150391
FGRAMPH1_01T02985,NCU02692,NEUTE1DRAFT_126377
FGRAMPH1_01T02987,NCU02688,NEUTE1DRAFT_150394
FGRAMPH1_01T02991,NCU02686,NEUTE1DRAFT_91832
FGRAMPH1_01T02995,NCU02684,NEUTE1DRAFT_150398
FGRAMPH1_01T02997,NCU02683,NEUTE1DRAFT_126387
FGRAMPH1_01T02999,NCU02682,NEUTE1DRAFT_33727
FGRAMPH1_01T03001,NCU02681,NEUTE1DRAFT_91842
FGRAMPH1_01T03005,NCU02680,NEUTE1DRAFT_105928
FGRAMPH1_01T03009,NCU02677,NEUTE1DRAFT_73152
FGRAMPH1_01T03015,NCU02660,NEUTE1DRAFT_91884
FGRAMPH1_01T03021,NCU16385,NEUTE1DRAFT_72674
FGRAMPH1_01T03023,NCU03087,NEUTE1DRAFT_126191
FGRAMPH1_01T03027,NCU07503,NEUTE1DRAFT_118398
FGRAMPH1_01T03031,NCU07505,NEUTE1DRAFT_70154
FGRAMPH1_01T03033,NCU07471,NEUTE1DRAFT_88890
FGRAMPH1_01T03037,NCU07468,NEUTE1DRAFT_88893
FGRAMPH1_01T03041,NCU07467,NEUTE1DRAFT_70219
FGRAMPH1_01T03043,NCU07466,NEUTE1DRAFT_118410
FGRAMPH1_01T03051,NCU16399,NEUTE1DRAFT_90697
FGRAMPH1_01T03053,NCU07472,NEUTE1DRAFT_88888
FGRAMPH1_01T03055,NCU08377,NEUTE1DRAFT_149962
FGRAMPH1_01T03061,NCU03303,NEUTE1DRAFT_72191
FGRAMPH1_01T03063,NCU03302,NEUTE1DRAFT_118811
FGRAMPH1_01T03075,NCU10810,NEUTE1DRAFT_72208
FGRAMPH1_01T03083,NCU09222,NEUTE1DRAFT_90510
FGRAMPH1_01T03085,NCU09221,NEUTE1DRAFT_90512
FGRAMPH1_01T03099,NCU09310,NEUTE1DRAFT_72761
FGRAMPH1_01T03113,NCU09312,NEUTE1DRAFT_91460
FGRAMPH1_01T03115,NCU09313,NEUTE1DRAFT_91464
FGRAMPH1_01T03121,NCU07507,NEUTE1DRAFT_104468
FGRAMPH1_01T03129,NCU05599,NEUTE1DRAFT_118111
FGRAMPH1_01T03131,NCU16400,NEUTE1DRAFT_90687
FGRAMPH1_01T03133,NCU08376,NEUTE1DRAFT_90692
FGRAMPH1_01T03135,NCU03305,NEUTE1DRAFT_72184
FGRAMPH1_01T03139,NCU02765,NEUTE1DRAFT_119291
FGRAMPH1_01T03141,NCU02767,NEUTE1DRAFT_93287
FGRAMPH1_01T03145,NCU09257,NEUTE1DRAFT_143493
FGRAMPH1_01T03147,NCU09258,NEUTE1DRAFT_134046
FGRAMPH1_01T03157,NCU09329,NEUTE1DRAFT_91498
FGRAMPH1_01T03161,NCU09107,NEUTE1DRAFT_118799
FGRAMPH1_01T03163,NCU09108,NEUTE1DRAFT_55635
FGRAMPH1_01T03165,NCU09109,NEUTE1DRAFT_118797
FGRAMPH1_01T03169,NCU09111,NEUTE1DRAFT_118796
FGRAMPH1_01T03171,NCU09112,NEUTE1DRAFT_72118
FGRAMPH1_01T03173,NCU16396,NEUTE1DRAFT_90806
FGRAMPH1_01T03187,NCU11228,NEUTE1DRAFT_126321
FGRAMPH1_01T03199,NCU02753,NEUTE1DRAFT_91684
FGRAMPH1_01T03209,NCU02712,NEUTE1DRAFT_91783
FGRAMPH1_01T03213,NCU02713,NEUTE1DRAFT_119006
FGRAMPH1_01T03217,NCU02716,NEUTE1DRAFT_73080
FGRAMPH1_01T03219,NCU02717,NEUTE1DRAFT_73077
FGRAMPH1_01T03227,NCU02720,NEUTE1DRAFT_126353
FGRAMPH1_01T03231,NCU02723,NEUTE1DRAFT_91762
FGRAMPH1_01T03233,NCU02725,NEUTE1DRAFT_150363
FGRAMPH1_01T03235,NCU02724,NEUTE1DRAFT_126349
FGRAMPH1_01T03251,NCU07380,NEUTE1DRAFT_90393
FGRAMPH1_01T03261,NCU09807,NEUTE1DRAFT_133385
FGRAMPH1_01T03267,NCU09813,NEUTE1DRAFT_118943
FGRAMPH1_01T03269,NCU16378,NEUTE1DRAFT_118942
FGRAMPH1_01T03271,NCU09814,NEUTE1DRAFT_126254
FGRAMPH1_01T03273,NCU09900,NEUTE1DRAFT_72862
FGRAMPH1_01T03277,NCU09899,NEUTE1DRAFT_91560
FGRAMPH1_01T03279,NCU09898,NEUTE1DRAFT_142686
FGRAMPH1_01T03281,NCU09897,NEUTE1DRAFT_54812
FGRAMPH1_01T03283,NCU09896,NEUTE1DRAFT_142688
FGRAMPH1_01T03289,NCU09894,NEUTE1DRAFT_150299
FGRAMPH1_01T03291,NCU09892,NEUTE1DRAFT_91576
FGRAMPH1_01T03293,NCU02963,NEUTE1DRAFT_73915
FGRAMPH1_01T03299,NCU02966,NEUTE1DRAFT_51277
FGRAMPH1_01T03303,NCU02968,NEUTE1DRAFT_92625
FGRAMPH1_01T03313,NCU07954,NEUTE1DRAFT_59526
FGRAMPH1_01T03315,NCU07955,NEUTE1DRAFT_59525
FGRAMPH1_01T03317,NCU07956,NEUTE1DRAFT_78203
FGRAMPH1_01T03323,NCU10043,NEUTE1DRAFT_90495
FGRAMPH1_01T03325,NCU10044,NEUTE1DRAFT_149885
FGRAMPH1_01T03327,NCU02665,NEUTE1DRAFT_119028
FGRAMPH1_01T03339,NCU00956,NEUTE1DRAFT_90219
FGRAMPH1_01T03343,NCU09255,NEUTE1DRAFT_93321
FGRAMPH1_01T03347,NCU09243,NEUTE1DRAFT_74641
FGRAMPH1_01T03349,NCU09241,NEUTE1DRAFT_115535
FGRAMPH1_01T03351,NCU11402,NEUTE1DRAFT_134059
FGRAMPH1_01T03353,NCU02771,NEUTE1DRAFT_93266
FGRAMPH1_01T03355,NCU02773,NEUTE1DRAFT_93259
FGRAMPH1_01T03359,NCU09320,NEUTE1DRAFT_72781
FGRAMPH1_01T03361,NCU09330,NEUTE1DRAFT_114712
FGRAMPH1_01T03365,NCU02762,NEUTE1DRAFT_126315
FGRAMPH1_01T03367,NCU09388,NEUTE1DRAFT_133425
FGRAMPH1_01T03371,NCU09386,NEUTE1DRAFT_91659
FGRAMPH1_01T03375,NCU09375,NEUTE1DRAFT_88612
FGRAMPH1_01T03377,NCU09376,NEUTE1DRAFT_149109
FGRAMPH1_01T03379,NCU09377,NEUTE1DRAFT_142725
FGRAMPH1_01T03381,NCU02980,NEUTE1DRAFT_150720
FGRAMPH1_01T03383,NCU02979,NEUTE1DRAFT_150719
FGRAMPH1_01T03387,NCU02977,NEUTE1DRAFT_92636
FGRAMPH1_01T03389,NCU02974,NEUTE1DRAFT_51919
FGRAMPH1_01T03393,NCU02972,NEUTE1DRAFT_92629
FGRAMPH1_01T03395,NCU02970,NEUTE1DRAFT_119178
FGRAMPH1_01T03399,NCU05236,NEUTE1DRAFT_80497
FGRAMPH1_01T03405,NCU02095,NEUTE1DRAFT_132537
FGRAMPH1_01T03417,NCU02543,NEUTE1DRAFT_51786
FGRAMPH1_01T03433,NCU06923,NEUTE1DRAFT_85251
FGRAMPH1_01T03435,NCU06922,NEUTE1DRAFT_139416
FGRAMPH1_01T03437,NCU06921,NEUTE1DRAFT_123651
FGRAMPH1_01T03447,NCU02948,NEUTE1DRAFT_119169
FGRAMPH1_01T03451,NCU02945,NEUTE1DRAFT_126682
FGRAMPH1_01T03453,NCU02950,NEUTE1DRAFT_150697
FGRAMPH1_01T03463,NCU02453,NEUTE1DRAFT_117800
FGRAMPH1_01T03477,NCU01655,NEUTE1DRAFT_83705
FGRAMPH1_01T03483,NCU01652,NEUTE1DRAFT_65014
FGRAMPH1_01T03493,NCU01656,NEUTE1DRAFT_147125
FGRAMPH1_01T03495,NCU01689,NEUTE1DRAFT_147142
FGRAMPH1_01T03497,NCU01692,NEUTE1DRAFT_130430
FGRAMPH1_01T03507,NCU01679,NEUTE1DRAFT_101756
FGRAMPH1_01T03515,NCU01702,NEUTE1DRAFT_130437
FGRAMPH1_01T03517,NCU01701,NEUTE1DRAFT_147150
FGRAMPH1_01T03519,NCU08517,NEUTE1DRAFT_122854
FGRAMPH1_01T03523,NCU01744,NEUTE1DRAFT_65142
FGRAMPH1_01T03527,NCU01742,NEUTE1DRAFT_83819
FGRAMPH1_01T03531,NCU01740,NEUTE1DRAFT_123044
FGRAMPH1_01T03533,NCU01739,NEUTE1DRAFT_117369
FGRAMPH1_01T03537,NCU01737,NEUTE1DRAFT_123041
FGRAMPH1_01T03547,NCU01729,NEUTE1DRAFT_83799
FGRAMPH1_01T03549,NCU01722,NEUTE1DRAFT_130443
FGRAMPH1_01T03553,NCU05750,NEUTE1DRAFT_86567
FGRAMPH1_01T03559,NCU01595,NEUTE1DRAFT_147084
FGRAMPH1_01T03567,NCU01504,NEUTE1DRAFT_83454
FGRAMPH1_01T03571,NCU01506,NEUTE1DRAFT_83457
FGRAMPH1_01T03581,NCU03416,NEUTE1DRAFT_130751
FGRAMPH1_01T03591,NCU05165,NEUTE1DRAFT_39852
FGRAMPH1_01T03593,NCU03435,NEUTE1DRAFT_65951
FGRAMPH1_01T03599,NCU03423,NEUTE1DRAFT_65937
FGRAMPH1_01T03601,NCU10376,NEUTE1DRAFT_111309
FGRAMPH1_01T03605,NCU03332,NEUTE1DRAFT_65756
FGRAMPH1_01T03607,NCU08507,NEUTE1DRAFT_146992
FGRAMPH1_01T03611,NCU08505,NEUTE1DRAFT_146991
FGRAMPH1_01T03613,NCU08504,NEUTE1DRAFT_83362
FGRAMPH1_01T03627,NCU03331,NEUTE1DRAFT_44265
FGRAMPH1_01T03631,NCU08509,NEUTE1DRAFT_146993
FGRAMPH1_01T03635,NCU08510,NEUTE1DRAFT_31253
FGRAMPH1_01T03637,NCU08511,NEUTE1DRAFT_130292
FGRAMPH1_01T03639,NCU00653,NEUTE1DRAFT_106523
FGRAMPH1_01T03641,NCU00652,NEUTE1DRAFT_150891
FGRAMPH1_01T03645,NCU02786,NEUTE1DRAFT_119286
FGRAMPH1_01T03647,NCU02785,NEUTE1DRAFT_74530
FGRAMPH1_01T03649,NCU02784,NEUTE1DRAFT_74526
FGRAMPH1_01T03651,NCU02068,NEUTE1DRAFT_132557
FGRAMPH1_01T03653,NCU08369,NEUTE1DRAFT_71980
FGRAMPH1_01T03657,NCU08368,NEUTE1DRAFT_90667
FGRAMPH1_01T03665,NCU08365,NEUTE1DRAFT_149950
FGRAMPH1_01T03679,NCU08342,NEUTE1DRAFT_52427
FGRAMPH1_01T03681,NCU08343,NEUTE1DRAFT_125888
FGRAMPH1_01T03683,NCU08344,NEUTE1DRAFT_118756
FGRAMPH1_01T03685,NCU08345,NEUTE1DRAFT_118757
FGRAMPH1_01T03693,NCU06017,NEUTE1DRAFT_123894
FGRAMPH1_01T03697,NCU02789,NEUTE1DRAFT_134013
FGRAMPH1_01T03699,NCU02788,NEUTE1DRAFT_106578
FGRAMPH1_01T03709,NCU08389,NEUTE1DRAFT_118776
FGRAMPH1_01T03721,NCU08385,NEUTE1DRAFT_133089
FGRAMPH1_01T03727,NCU08383,NEUTE1DRAFT_125930
FGRAMPH1_01T03733,NCU08379,NEUTE1DRAFT_90703
FGRAMPH1_01T03743,NCU01646,NEUTE1DRAFT_122989
FGRAMPH1_01T03749,NCU06754,NEUTE1DRAFT_84103
FGRAMPH1_01T03753,NCU11159,NEUTE1DRAFT_84097
FGRAMPH1_01T03755,NCU06752,NEUTE1DRAFT_84095
FGRAMPH1_01T03757,NCU06751,NEUTE1DRAFT_138771
FGRAMPH1_01T03759,NCU06748,NEUTE1DRAFT_130548
FGRAMPH1_01T03763,NCU16552,NEUTE1DRAFT_84070
FGRAMPH1_01T03767,NCU11427,NEUTE1DRAFT_65358
FGRAMPH1_01T03775,NCU06737,NEUTE1DRAFT_84051
FGRAMPH1_01T03777,NCU01846,NEUTE1DRAFT_65353
FGRAMPH1_01T03779,NCU01840,NEUTE1DRAFT_84024
FGRAMPH1_01T03781,NCU01841,NEUTE1DRAFT_44921
FGRAMPH1_01T03783,NCU01842,NEUTE1DRAFT_84025
FGRAMPH1_01T03785,NCU01822,NEUTE1DRAFT_117412
FGRAMPH1_01T03787,NCU01675,NEUTE1DRAFT_65062
FGRAMPH1_01T03789,NCU06734,NEUTE1DRAFT_123133
FGRAMPH1_01T03793,NCU08744,NEUTE1DRAFT_122775
FGRAMPH1_01T03803,NCU03347,NEUTE1DRAFT_84478
FGRAMPH1_01T03805,NCU03350,NEUTE1DRAFT_130703
FGRAMPH1_01T03809,NCU03351,NEUTE1DRAFT_102168
FGRAMPH1_01T03817,NCU03357,NEUTE1DRAFT_65815
FGRAMPH1_01T03821,NCU03356,NEUTE1DRAFT_84491
FGRAMPH1_01T03833,NCU05410,NEUTE1DRAFT_84346
FGRAMPH1_01T03835,NCU03543,NEUTE1DRAFT_123461
FGRAMPH1_01T03837,NCU03550,NEUTE1DRAFT_84834
FGRAMPH1_01T03839,NCU03549,NEUTE1DRAFT_66146
FGRAMPH1_01T03845,NCU03551,NEUTE1DRAFT_147570
FGRAMPH1_01T03855,NCU08436,NEUTE1DRAFT_130190
FGRAMPH1_01T03873,NCU09490,NEUTE1DRAFT_110611
FGRAMPH1_01T03891,NCU09488,NEUTE1DRAFT_64288
FGRAMPH1_01T03911,NCU09571,NEUTE1DRAFT_147782
FGRAMPH1_01T03913,NCU09572,NEUTE1DRAFT_117692
FGRAMPH1_01T03915,NCU09573,NEUTE1DRAFT_66644
FGRAMPH1_01T03937,NCU08736,NEUTE1DRAFT_146930
FGRAMPH1_01T03939,NCU05422,NEUTE1DRAFT_84325
FGRAMPH1_01T03941,NCU05386,NEUTE1DRAFT_117502
FGRAMPH1_01T03955,NCU03336,NEUTE1DRAFT_123309
FGRAMPH1_01T03963,NCU08729,NEUTE1DRAFT_83242
FGRAMPH1_01T03977,NCU05343,NEUTE1DRAFT_84419
FGRAMPH1_01T03983,NCU05375,NEUTE1DRAFT_65709
FGRAMPH1_01T03985,NCU05373,NEUTE1DRAFT_84392
FGRAMPH1_01T03991,NCU05417,NEUTE1DRAFT_123259
FGRAMPH1_01T03997,NCU05411,NEUTE1DRAFT_102079
FGRAMPH1_01T04001,NCU03503,NEUTE1DRAFT_66075
FGRAMPH1_01T04009,NCU05421,NEUTE1DRAFT_65646
FGRAMPH1_01T04011,NCU05420,NEUTE1DRAFT_84330
FGRAMPH1_01T04015,NCU03545,NEUTE1DRAFT_130833
FGRAMPH1_01T04017,NCU03544,NEUTE1DRAFT_43829
FGRAMPH1_01T04029,NCU03344,NEUTE1DRAFT_123317
FGRAMPH1_01T04031,NCU03343,NEUTE1DRAFT_117522
FGRAMPH1_01T04033,NCU03340,NEUTE1DRAFT_95427
FGRAMPH1_01T04035,NCU03342,NEUTE1DRAFT_65784
FGRAMPH1_01T04039,NCU11245,NEUTE1DRAFT_44355
FGRAMPH1_01T04041,NCU03345,NEUTE1DRAFT_130699
FGRAMPH1_01T04053,NCU08741,NEUTE1DRAFT_64543
FGRAMPH1_01T04055,NCU08742,NEUTE1DRAFT_122777
FGRAMPH1_01T04057,NCU08743,NEUTE1DRAFT_83214
FGRAMPH1_01T04063,NCU03334,NEUTE1DRAFT_123307
FGRAMPH1_01T04065,NCU03333,NEUTE1DRAFT_117516
FGRAMPH1_01T04069,NCU09345,NEUTE1DRAFT_117213
FGRAMPH1_01T04089,NCU09854,NEUTE1DRAFT_134222
FGRAMPH1_01T04115,NCU06826,NEUTE1DRAFT_123207
FGRAMPH1_01T04117,NCU09489,NEUTE1DRAFT_64286
FGRAMPH1_01T04119,NCU07981,NEUTE1DRAFT_39836
FGRAMPH1_01T04121,NCU07979,NEUTE1DRAFT_79624
FGRAMPH1_01T04133,NCU08730,NEUTE1DRAFT_146938
FGRAMPH1_01T04147,NCU05900,NEUTE1DRAFT_68140
FGRAMPH1_01T04149,NCU05899,NEUTE1DRAFT_68137
FGRAMPH1_01T04159,NCU03514,NEUTE1DRAFT_102324
FGRAMPH1_01T04429,NCU08192,NEUTE1DRAFT_101200
FGRAMPH1_01T04447,NCU11260,NEUTE1DRAFT_93925
FGRAMPH1_01T04449,NCU04646,NEUTE1DRAFT_58771
FGRAMPH1_01T04465,NCU04112,NEUTE1DRAFT_75517
FGRAMPH1_01T04471,NCU03685,NEUTE1DRAFT_58434
FGRAMPH1_01T04475,NCU03684,NEUTE1DRAFT_77119
FGRAMPH1_01T04479,NCU03681,NEUTE1DRAFT_127913
FGRAMPH1_01T04481,NCU03679,NEUTE1DRAFT_116046
FGRAMPH1_01T04491,NCU03690,NEUTE1DRAFT_58426
FGRAMPH1_01T04493,NCU03691,NEUTE1DRAFT_144484
FGRAMPH1_01T04495,NCU03692,NEUTE1DRAFT_77104
FGRAMPH1_01T04517,NCU03694,NEUTE1DRAFT_77099
FGRAMPH1_01T04521,NCU03696,NEUTE1DRAFT_58411
FGRAMPH1_01T04529,NCU03702,NEUTE1DRAFT_116037
FGRAMPH1_01T04551,NCU04633,NEUTE1DRAFT_144610
FGRAMPH1_01T04557,NCU06700,NEUTE1DRAFT_57154
FGRAMPH1_01T04561,NCU04116,NEUTE1DRAFT_75508
FGRAMPH1_01T04563,NCU04115,NEUTE1DRAFT_75510
FGRAMPH1_01T04565,NCU04114,NEUTE1DRAFT_35100
FGRAMPH1_01T04567,NCU04113,NEUTE1DRAFT_143863
FGRAMPH1_01T04569,NCU04119,NEUTE1DRAFT_75501
FGRAMPH1_01T04577,NCU16999,NEUTE1DRAFT_107316
FGRAMPH1_01T04579,NCU01310,NEUTE1DRAFT_57515
FGRAMPH1_01T04589,NCU01455,NEUTE1DRAFT_56949
FGRAMPH1_01T04591,NCU01463,NEUTE1DRAFT_143914
FGRAMPH1_01T04595,NCU01322,NEUTE1DRAFT_144116
FGRAMPH1_01T04601,NCU01276,NEUTE1DRAFT_76279
FGRAMPH1_01T04603,NCU01277,NEUTE1DRAFT_57596
FGRAMPH1_01T04609,NCU01324,NEUTE1DRAFT_144114
FGRAMPH1_01T04613,NCU01361,NEUTE1DRAFT_144087
FGRAMPH1_01T04615,NCU01360,NEUTE1DRAFT_93733
FGRAMPH1_01T04617,NCU01358,NEUTE1DRAFT_107315
FGRAMPH1_01T04619,NCU01311,NEUTE1DRAFT_119886
FGRAMPH1_01T04625,NCU01315,NEUTE1DRAFT_57508
FGRAMPH1_01T04629,NCU01317,NEUTE1DRAFT_115864
FGRAMPH1_01T04631,NCU01318,NEUTE1DRAFT_76183
FGRAMPH1_01T04633,NCU11050,NEUTE1DRAFT_79561
FGRAMPH1_01T04635,NCU08012,NEUTE1DRAFT_79701
FGRAMPH1_01T04639,NCU08007,NEUTE1DRAFT_128878
FGRAMPH1_01T04647,NCU08003,NEUTE1DRAFT_79678
FGRAMPH1_01T04649,NCU08004,NEUTE1DRAFT_61000
FGRAMPH1_01T04653,NCU08006,NEUTE1DRAFT_121301
FGRAMPH1_01T04657,NCU08021,NEUTE1DRAFT_121313
FGRAMPH1_01T04661,NCU07986,NEUTE1DRAFT_60954
FGRAMPH1_01T04667,NCU07984,NEUTE1DRAFT_79630
FGRAMPH1_01T04669,NCU07999,NEUTE1DRAFT_79667
FGRAMPH1_01T04685,NCU11369,NEUTE1DRAFT_38154
FGRAMPH1_01T04687,NCU05299,NEUTE1DRAFT_61668
FGRAMPH1_01T04689,NCU16889,NEUTE1DRAFT_136910
FGRAMPH1_01T04691,NCU05300,NEUTE1DRAFT_136909
FGRAMPH1_01T04693,NCU06390,NEUTE1DRAFT_78995
FGRAMPH1_01T04695,NCU06367,NEUTE1DRAFT_79040
FGRAMPH1_01T04697,NCU16888,NEUTE1DRAFT_80310
FGRAMPH1_01T04699,NCU06365,NEUTE1DRAFT_145256
FGRAMPH1_01T04705,NCU05267,NEUTE1DRAFT_129153
FGRAMPH1_01T04711,NCU05270,NEUTE1DRAFT_145803
FGRAMPH1_01T04713,NCU05271,NEUTE1DRAFT_80414
FGRAMPH1_01T04715,NCU05272,NEUTE1DRAFT_80413
FGRAMPH1_01T04717,NCU05273,NEUTE1DRAFT_129147
FGRAMPH1_01T04719,NCU05274,NEUTE1DRAFT_80407
FGRAMPH1_01T04721,NCU16890,NEUTE1DRAFT_80404
FGRAMPH1_01T04725,NCU05276,NEUTE1DRAFT_116694
FGRAMPH1_01T04727,NCU05279,NEUTE1DRAFT_61710
FGRAMPH1_01T04743,NCU16779,NEUTE1DRAFT_60074
FGRAMPH1_01T04745,NCU06334,NEUTE1DRAFT_121074
FGRAMPH1_01T04749,NCU06349,NEUTE1DRAFT_79075
FGRAMPH1_01T04753,NCU08295,NEUTE1DRAFT_78891
FGRAMPH1_01T04757,NCU08299,NEUTE1DRAFT_78879
FGRAMPH1_01T04769,NCU07947,NEUTE1DRAFT_116265
FGRAMPH1_01T04815,NCU04902,NEUTE1DRAFT_59384
FGRAMPH1_01T04829,NCU03667,NEUTE1DRAFT_127921
FGRAMPH1_01T04837,NCU04145,NEUTE1DRAFT_75440
FGRAMPH1_01T04847,NCU04620,NEUTE1DRAFT_77405
FGRAMPH1_01T04849,NCU07739,NEUTE1DRAFT_120500
FGRAMPH1_01T04851,NCU04135,NEUTE1DRAFT_75464
FGRAMPH1_01T04853,NCU04136,NEUTE1DRAFT_143844
FGRAMPH1_01T04857,NCU04138,NEUTE1DRAFT_127296
FGRAMPH1_01T04859,NCU04139,NEUTE1DRAFT_75453
FGRAMPH1_01T04861,NCU04142,NEUTE1DRAFT_56764
FGRAMPH1_01T04925,NCU01229,NEUTE1DRAFT_76377
FGRAMPH1_01T04927,NCU02337,NEUTE1DRAFT_86131
FGRAMPH1_01T04933,NCU07779,NEUTE1DRAFT_77753
FGRAMPH1_01T04937,NCU07783,NEUTE1DRAFT_35897
FGRAMPH1_01T04941,NCU07778,NEUTE1DRAFT_128153
FGRAMPH1_01T04943,NCU08869,NEUTE1DRAFT_77820
FGRAMPH1_01T04945,NCU01211,NEUTE1DRAFT_127649
FGRAMPH1_01T04947,NCU01212,NEUTE1DRAFT_57728
FGRAMPH1_01T04953,NCU04590,NEUTE1DRAFT_77340
FGRAMPH1_01T04957,NCU04580,NEUTE1DRAFT_77315
FGRAMPH1_01T04963,NCU04577,NEUTE1DRAFT_77307
FGRAMPH1_01T04965,NCU04578,NEUTE1DRAFT_58625
FGRAMPH1_01T04971,NCU07814,NEUTE1DRAFT_77790
FGRAMPH1_01T04997,NCU07741,NEUTE1DRAFT_59004
FGRAMPH1_01T05011,NCU09838,NEUTE1DRAFT_120487
FGRAMPH1_01T05013,NCU04133,NEUTE1DRAFT_143846
FGRAMPH1_01T05015,NCU04110,NEUTE1DRAFT_75523
FGRAMPH1_01T05043,NCU01069,NEUTE1DRAFT_144312
FGRAMPH1_01T05045,NCU16972,NEUTE1DRAFT_76716
FGRAMPH1_01T05049,NCU01070,NEUTE1DRAFT_76678
FGRAMPH1_01T05053,NCU01216,NEUTE1DRAFT_98020
FGRAMPH1_01T05057,NCU01218,NEUTE1DRAFT_127643
FGRAMPH1_01T05059,NCU01220,NEUTE1DRAFT_144199
FGRAMPH1_01T05061,NCU01221,NEUTE1DRAFT_115903
FGRAMPH1_01T05065,NCU07747,NEUTE1DRAFT_77694
FGRAMPH1_01T05067,NCU07748,NEUTE1DRAFT_59015
FGRAMPH1_01T05083,NCU03152,NEUTE1DRAFT_118878
FGRAMPH1_01T05087,NCU09691,NEUTE1DRAFT_128085
FGRAMPH1_01T05125,NCU01068,NEUTE1DRAFT_127753
FGRAMPH1_01T05173,NCU08146,NEUTE1DRAFT_86498
FGRAMPH1_01T05235,NCU04033,NEUTE1DRAFT_112959
FGRAMPH1_01T05277,NCU07817,NEUTE1DRAFT_62192
FGRAMPH1_01T05279,NCU05644,NEUTE1DRAFT_68676
FGRAMPH1_01T05281,NCU05645,NEUTE1DRAFT_87357
FGRAMPH1_01T05283,NCU05646,NEUTE1DRAFT_124509
FGRAMPH1_01T05299,NCU05641,NEUTE1DRAFT_87366
FGRAMPH1_01T05305,NCU02486,NEUTE1DRAFT_92274
